# Result_no_control/output_current_end.csv run at 2000-01-02 00:00:00 EST on 907 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
Source_Impedance,0.515783,-0.230079,0.516908,3.784915,0.436780,1.775085
TR1,0.515783,-0.230079,0.516908,3.784915,0.436780,1.775085
LINE1,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE2,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE3,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE4,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE5,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE6,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE7,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE8,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE9,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE10,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE11,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE12,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE13,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE14,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE15,0.000000,-0.286645,0.000000,3.734416,0.000000,1.549364
LINE16,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE17,0.000000,-0.291184,0.000000,3.687998,0.000000,1.546841
LINE18,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE19,0.000000,-0.243601,0.000000,3.438411,0.000000,1.537076
LINE20,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE21,0.000000,-0.236025,0.000000,3.475431,0.000000,-0.024932
LINE22,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE23,0.000000,-0.443156,0.000000,3.539515,0.000000,1.578080
LINE24,11.524781,-0.841184,15.649325,3.347770,11.579055,1.252475
LINE25,0.000000,-0.707248,0.000000,3.546423,0.000000,1.582762
LINE26,1.599709,-0.841478,0.000000,4.003749,0.000000,1.780452
LINE27,9.925073,-0.841136,15.649325,3.347770,11.579055,1.252475
LINE28,0.000000,-0.952227,0.000000,3.619504,0.000000,1.572469
LINE29,0.150359,-0.841488,0.000000,0.126323,0.000000,1.568147
LINE30,1.449350,-0.841478,0.000000,4.072878,0.000000,1.791769
LINE31,9.925073,-0.841136,15.649325,3.347770,11.579055,1.252475
LINE32,0.000000,-0.775051,0.000000,3.554171,0.000000,1.582794
LINE33,0.150359,-0.841488,0.000000,3.681687,0.000000,-1.516840
LINE34,1.449350,-0.841478,0.000000,1.675251,0.000000,2.032526
LINE35,0.000000,2.366944,0.472362,3.347239,0.000000,1.565405
