# Result_no_control/output_current_offpeak.csv run at 2000-01-01 00:01:00 EST on 907 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
Source_Impedance,0.166895,-0.384961,0.136221,3.824525,0.156510,1.889304
TR1,0.166895,-0.384961,0.136221,3.824525,0.156510,1.889304
LINE1,4.916986,-0.841189,3.888850,3.347451,3.307629,1.253214
LINE2,4.916986,-0.841189,3.888850,3.347451,3.307629,1.253214
LINE3,4.916986,-0.841189,3.888850,3.347451,3.307629,1.253214
LINE4,4.916986,-0.841189,3.888850,3.347451,3.307629,1.253214
LINE5,4.916986,-0.841189,3.888850,3.347451,3.307629,1.253214
LINE6,4.916986,-0.841189,3.888850,3.347451,3.307629,1.253214
LINE7,4.916986,-0.841189,3.888850,3.347451,3.307629,1.253214
LINE8,4.916986,-0.841189,3.888850,3.347451,3.307629,1.253214
LINE9,4.916986,-0.841189,3.888850,3.347451,3.307629,1.253214
LINE10,4.916986,-0.841189,3.888850,3.347451,3.307629,1.253214
LINE11,4.916986,-0.841189,3.888850,3.347451,3.307629,1.253214
LINE12,4.916986,-0.841189,3.888850,3.347451,3.307629,1.253214
LINE13,4.916986,-0.841189,3.888850,3.347451,3.307629,1.253214
LINE14,4.916986,-0.841189,3.888850,3.347451,3.307629,1.253214
LINE15,0.000000,4.197500,0.000000,3.687998,0.000000,1.550503
LINE16,4.916986,-0.841189,3.888850,3.347451,3.307629,1.253214
LINE17,0.000000,3.978831,0.000000,3.760162,0.000000,1.539688
LINE18,4.916986,-0.841189,3.888850,3.347451,3.307629,1.253214
LINE19,0.000000,3.580308,0.000000,0.000000,0.000000,1.551776
LINE20,4.916986,-0.841189,3.888850,3.347451,3.307629,1.253214
LINE21,0.000000,3.580308,0.000000,0.000000,0.000000,1.552487
LINE22,4.916986,-0.841189,3.888850,3.347451,3.307629,1.253214
LINE23,0.000000,4.168311,0.000000,3.475431,0.000000,1.557064
LINE24,4.916986,-0.841189,3.888850,3.347451,3.307629,1.253214
LINE25,0.000000,-1.377059,0.000000,3.835491,0.000000,1.550178
LINE26,0.768293,-0.841294,0.000000,1.384905,0.000000,-1.536226
LINE27,4.148693,-0.841170,3.888850,3.347451,3.307629,1.253214
LINE28,0.000000,4.687457,0.000000,3.675260,0.000000,1.544668
LINE29,0.150316,-0.841297,0.000000,-0.911618,0.000000,-1.474725
LINE30,0.617976,-0.841294,0.000000,1.280231,0.000000,-1.530250
LINE31,4.148693,-0.841170,3.888850,3.347451,3.307629,1.253214
LINE32,0.000000,-1.478619,0.000000,3.683390,0.000000,1.558776
LINE33,0.150316,-0.841297,0.000000,2.536019,0.000000,-1.488937
LINE34,0.617976,-0.841294,0.000000,1.326005,0.000000,4.711114
LINE35,0.000000,3.805665,0.471831,3.347460,0.000000,2.842249
LINE36,4.148693,-0.841170,3.417019,3.347450,3.307629,1.253214
LINE37,0.000000,4.545560,0.000000,3.727387,0.000000,1.554913
LINE38,0.617976,-0.841294,0.000000,0.246637,0.000000,4.665150
LINE39,0.000000,3.853010,0.233828,3.347460,0.000000,2.984184
LINE40,0.000000,2.896072,0.238003,3.347460,0.000000,-1.474865
LINE41,4.148693,-0.841170,3.417019,3.347450,3.307629,1.253214
LINE42,0.000000,-1.045288,0.000000,-1.197725,0.000000,1.406403
LINE43,0.000000,4.687457,0.000000,4.687457,0.000000,1.542487
LINE44,0.617976,-0.841294,0.000000,-0.767956,0.000000,-1.557742
LINE45,0.000000,3.805213,0.233828,3.347460,0.000000,2.524941
LINE46,0.000000,0.445649,0.238003,3.347460,0.000000,1.548053
LINE47,4.148693,-0.841170,3.417019,3.347450,3.307629,1.253214
LINE48,0.000000,-1.189876,0.000000,-1.383085,0.000000,1.369371
LINE49,0.000000,3.116661,0.000000,-1.007726,0.000000,1.463774
LINE50,0.617976,-0.841294,0.000000,0.245428,0.000000,-1.509115
LINE51,0.000000,3.193571,0.233828,3.347460,0.000000,2.294594
LINE52,4.148693,-0.841170,3.417019,3.347450,3.307629,1.253214
LINE53,0.000000,0.520081,0.000000,1.468621,0.000000,4.704018
LINE54,0.000000,-1.011132,0.000000,-0.605473,0.000000,1.450820
LINE55,0.000000,2.794910,0.000000,-0.810330,0.000000,1.506365
LINE56,0.617976,-0.841294,0.000000,0.072482,0.000000,-1.521632
LINE57,0.000000,3.377855,0.233828,3.347460,0.000000,2.113467
LINE58,4.148693,-0.841170,3.417019,3.347450,3.307629,1.253214
LINE59,0.000000,0.769684,0.000000,1.252915,0.000000,-1.371044
LINE60,0.000000,-0.968554,0.000000,4.020313,0.000000,1.551157
LINE61,0.000000,2.825204,0.000000,-1.132081,0.000000,1.498821
LINE62,0.617976,-0.841294,0.000000,-0.851283,0.000000,-1.507981
LINE63,0.000000,3.635592,0.233828,3.347460,0.000000,4.059774
LINE64,3.559790,-0.841159,3.417019,3.347450,3.307629,1.253214
LINE65,0.588903,-0.841235,0.000000,0.996789,0.000000,-1.487665
LINE66,0.000000,1.226647,0.000000,0.617140,0.000000,4.698824
LINE67,0.000000,-1.002990,0.000000,3.299089,0.000000,1.544166
LINE68,0.000000,3.116661,0.000000,-0.190081,0.000000,1.509839
LINE69,0.617976,-0.841294,0.000000,2.548466,0.000000,-1.552266
LINE70,0.000000,3.079661,0.233828,3.347460,0.000000,4.651053
LINE71,3.559790,-0.841159,3.417019,3.347450,3.307629,1.253214
LINE72,0.204654,-0.841236,0.000000,3.825694,0.000000,1.651078
LINE73,0.384249,-0.841235,0.000000,0.143162,0.000000,2.387353
LINE74,0.000000,0.693258,0.000000,-0.045001,0.000000,4.598748
LINE75,0.000000,-1.109235,0.000000,2.769190,0.000000,1.388129
LINE76,0.000000,3.205710,0.000000,-0.810330,0.000000,1.502313
LINE77,0.000000,0.806213,0.233828,3.347460,0.000000,1.444381
LINE78,3.559790,-0.841159,3.417019,3.347450,3.307629,1.253214
LINE79,0.000000,1.039538,0.000000,3.597791,0.000000,4.149237
LINE80,0.000000,-0.994396,0.000000,2.342511,0.000000,1.442264
LINE81,0.000000,3.193433,0.000000,-0.650417,0.000000,1.508736
LINE82,0.000000,0.615825,0.233828,3.347460,0.000000,1.516467
LINE83,3.559790,-0.841159,3.417019,3.347450,3.307629,1.253214
LINE84,0.000000,2.156266,0.000000,1.722270,0.000000,3.576370
LINE85,0.000000,-1.015008,0.000000,2.390096,0.000000,1.426239
LINE86,0.000000,3.187968,0.000000,-0.920987,0.000000,1.519548
LINE87,3.559790,-0.841159,3.417019,3.347450,3.307629,1.253214
LINE88,0.000000,-1.339156,0.000000,3.653165,0.000000,2.741333
LINE89,0.000000,-0.912794,0.000000,1.733585,0.000000,1.483764
LINE90,0.000000,3.172159,0.000000,-1.007726,0.000000,1.514015
LINE91,3.559790,-0.841159,3.417019,3.347450,3.307629,1.253214
LINE92,0.000000,-1.066454,0.000000,0.372077,0.000000,1.499793
LINE93,0.000000,3.116661,0.000000,3.902059,0.000000,-0.024932
LINE94,3.559790,-0.841159,3.417019,3.347450,3.307629,1.253214
LINE95,0.000000,4.679187,0.000000,0.165802,0.000000,1.901682
LINE96,0.000000,3.580308,0.000000,1.545864,0.000000,-1.486786
LINE97,3.559790,-0.841159,3.417019,3.347450,3.307629,1.253214
LINE98,0.000000,4.388541,0.000000,1.128949,0.000000,4.526614
LINE99,0.000000,0.000000,0.000000,0.438716,0.000000,-1.502009
LINE100,3.559790,-0.841159,3.417019,3.347450,3.307629,1.253214
