# Result_no_control/output_current_peak.csv run at 2000-01-01 18:03:00 EST on 907 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
Source_Impedance,98.339989,-0.442010,102.815038,3.913654,114.804797,1.703801
TR1,98.339989,-0.442010,102.815038,3.913654,114.804797,1.703801
LINE1,3018.227923,-1.009882,2544.491262,3.391447,2806.840300,1.241261
LINE2,3018.227923,-1.009882,2544.491262,3.391447,2806.840300,1.241261
LINE3,3018.227923,-1.009882,2544.491262,3.391447,2806.840300,1.241261
LINE4,3018.227923,-1.009882,2544.491262,3.391447,2806.840300,1.241261
LINE5,3018.227923,-1.009882,2544.491262,3.391447,2806.840300,1.241261
LINE6,3018.227923,-1.009882,2544.491262,3.391447,2806.840300,1.241261
LINE7,3018.227923,-1.009882,2544.491262,3.391447,2806.840300,1.241261
LINE8,3018.227923,-1.009882,2544.491262,3.391447,2806.840300,1.241261
LINE9,3018.227923,-1.009882,2544.491262,3.391447,2806.840300,1.241261
LINE10,3018.227923,-1.009882,2544.491262,3.391447,2806.840300,1.241261
LINE11,3018.227923,-1.009882,2544.491262,3.391447,2806.840300,1.241261
LINE12,3018.227923,-1.009882,2544.491262,3.391447,2806.840300,1.241261
LINE13,3018.227923,-1.009882,2544.491262,3.391447,2806.840300,1.241261
LINE14,3018.227923,-1.009882,2544.491262,3.391447,2806.840300,1.241261
LINE15,0.000000,-0.024932,0.000000,4.687457,0.000000,1.623831
LINE16,3018.227923,-1.009882,2544.491262,3.391447,2806.840300,1.241261
LINE17,0.000000,1.545864,0.000000,4.687457,0.000000,1.587507
LINE18,3018.227923,-1.009882,2544.491262,3.391447,2806.840300,1.241261
LINE19,0.000000,1.545864,0.000000,-0.488580,0.000000,1.700861
LINE20,3018.227923,-1.009882,2544.491262,3.391447,2806.840300,1.241261
LINE21,0.000000,1.545864,0.000000,-0.810330,0.000000,1.670219
LINE22,3018.227923,-1.009882,2544.491262,3.391447,2806.840300,1.241261
LINE23,0.000000,1.026718,0.000000,3.902059,0.000000,1.581564
LINE24,3018.227923,-1.009882,2544.491262,3.391447,2806.840300,1.241261
LINE25,0.000000,0.760466,0.000000,3.580308,0.000000,1.545864
LINE26,211.015954,-0.922831,0.000000,3.297939,0.000000,1.584914
LINE27,2808.070929,-1.016415,2544.491262,3.391447,2806.840300,1.241261
LINE28,0.000000,0.220047,0.000000,3.314056,0.000000,1.545864
LINE29,108.252643,-0.922859,0.000000,1.468911,0.000000,4.269895
LINE30,102.763311,-0.922801,0.000000,3.323545,0.000000,1.586320
LINE31,2808.070929,-1.016415,2544.491262,3.391447,2806.840300,1.241261
LINE32,0.000000,0.186161,0.000000,3.390828,0.000000,1.531160
LINE33,108.252643,-0.922859,0.000000,2.827701,0.000000,2.282364
LINE34,102.763311,-0.922801,0.000000,2.932673,0.000000,1.666406
LINE35,0.000000,0.004029,214.627690,3.270146,0.000000,-1.115372
LINE36,2808.070929,-1.016415,2331.585300,3.402586,2806.840300,1.241261
LINE37,0.000000,0.253368,0.000000,3.361639,0.000000,1.522431
LINE38,102.763311,-0.922801,0.000000,3.172504,0.000000,1.573994
LINE39,0.000000,0.096596,108.967140,3.270188,0.000000,-1.208014
LINE40,0.000000,2.855487,105.660550,3.270103,0.000000,-1.497619
LINE41,2808.070929,-1.016415,2331.585300,3.402586,2806.840300,1.241261
LINE42,0.000000,-0.900915,0.000000,3.076297,0.000000,3.927724
LINE43,0.000000,1.545864,0.000000,3.760162,0.000000,1.545864
LINE44,102.763311,-0.922801,0.000000,2.785615,0.000000,1.810106
LINE45,0.000000,-0.168603,108.967140,3.270188,0.000000,-1.531673
LINE46,0.000000,-1.013195,105.660550,3.270103,0.000000,-0.525713
LINE47,2808.070929,-1.016415,2331.585300,3.402586,2806.840300,1.241261
LINE48,0.000000,-0.940288,0.000000,2.837117,0.000000,4.142430
LINE49,0.000000,0.760466,0.000000,4.306951,0.000000,1.504222
LINE50,102.763311,-0.922801,0.000000,3.815411,0.000000,4.247917
LINE51,0.000000,-0.171917,108.967140,3.270188,0.000000,4.712315
LINE52,2808.070929,-1.016415,2331.585300,3.402586,2806.840300,1.241261
LINE53,0.000000,-1.225775,0.000000,4.573931,0.000000,1.509517
LINE54,0.000000,-1.127757,0.000000,2.177357,0.000000,4.024151
LINE55,0.000000,1.545864,0.000000,4.043956,0.000000,1.566695
LINE56,102.763311,-0.922801,0.000000,1.869958,0.000000,4.042003
LINE57,0.000000,-0.440510,108.967140,3.270188,0.000000,-1.465189
LINE58,2808.070929,-1.016415,2331.585300,3.402586,2806.840300,1.241261
LINE59,0.000000,1.613072,0.000000,-1.313322,0.000000,1.141276
LINE60,0.000000,-0.414995,0.000000,2.137295,0.000000,4.071917
LINE61,0.000000,1.545864,0.000000,4.365707,0.000000,1.608283
LINE62,102.763311,-0.922801,0.000000,4.593450,0.000000,3.279105
LINE63,0.000000,-1.463118,108.967140,3.270188,0.000000,-1.250273
LINE64,2568.312776,-1.023997,2331.585300,3.402586,2806.840300,1.241261
LINE65,240.621237,-0.935398,0.000000,-1.483568,0.000000,-1.493346
LINE66,0.000000,0.474703,0.000000,4.266843,0.000000,-1.438830
LINE67,0.000000,-0.917993,0.000000,0.965737,0.000000,3.534937
LINE68,0.000000,1.082217,0.000000,3.902059,0.000000,1.608283
LINE69,102.763311,-0.922801,0.000000,4.589896,0.000000,3.128874
LINE70,0.000000,0.411671,108.967140,3.270188,0.000000,-1.052260
LINE71,2568.312776,-1.023997,2331.585300,3.402586,2806.840300,1.241261
LINE72,120.105784,-0.935398,0.000000,-1.536141,0.000000,-1.150764
LINE73,120.515453,-0.935398,0.000000,0.272012,0.000000,-1.534393
LINE74,0.000000,0.230199,0.000000,4.486035,0.000000,1.425488
LINE75,0.000000,-0.119877,0.000000,1.135094,0.000000,4.194534
LINE76,0.000000,1.239986,0.000000,4.072794,0.000000,1.545864
LINE77,0.000000,0.058619,108.967140,3.270188,0.000000,-0.221188
LINE78,2568.312776,-1.023997,2331.585300,3.402586,2806.840300,1.241261
LINE79,0.000000,0.655518,0.000000,4.359340,0.000000,1.658803
LINE80,0.000000,-0.044426,0.000000,0.795272,0.000000,4.217499
LINE81,0.000000,1.211128,0.000000,4.031761,0.000000,1.570859
