# file...... Result_no_control/Load1_voltage.csv
# date...... Thu Mar 10 10:46:07 2016
# user...... chepeadan
# host...... (null)
# target.... load 920
# trigger... (none)
# interval.. 0
# limit..... 0
# timestamp,voltage_A.real,voltage_A.imag
2000-01-01 00:01:00 EST,+218.308,-126.08
2000-01-01 00:02:00 EST,+218.309,-126.082
2000-01-01 00:03:00 EST,+218.282,-126.076
2000-01-01 00:04:00 EST,+218.274,-126.073
2000-01-01 00:05:00 EST,+218.276,-126.079
2000-01-01 00:06:00 EST,+218.267,-126.074
2000-01-01 00:07:00 EST,+218.255,-126.071
2000-01-01 00:08:00 EST,+218.237,-126.066
2000-01-01 00:09:00 EST,+218.224,-126.063
2000-01-01 00:10:00 EST,+218.023,-126.012
2000-01-01 00:11:00 EST,+218.268,-126.081
2000-01-01 00:12:00 EST,+218.25,-126.076
2000-01-01 00:13:00 EST,+218.251,-126.074
2000-01-01 00:14:00 EST,+218.247,-126.073
2000-01-01 00:15:00 EST,+218.252,-126.074
2000-01-01 00:16:00 EST,+218.242,-126.07
2000-01-01 00:17:00 EST,+218.052,-126.022
2000-01-01 00:18:00 EST,+218.052,-126.022
2000-01-01 00:19:00 EST,+218.058,-126.024
2000-01-01 00:20:00 EST,+218.245,-126.074
2000-01-01 00:21:00 EST,+218.245,-126.074
2000-01-01 00:22:00 EST,+218.244,-126.074
2000-01-01 00:23:00 EST,+218.243,-126.073
2000-01-01 00:24:00 EST,+218.229,-126.076
2000-01-01 00:25:00 EST,+218.228,-126.087
2000-01-01 00:26:00 EST,+218.234,-126.094
2000-01-01 00:27:00 EST,+218.24,-126.089
2000-01-01 00:28:00 EST,+218.24,-126.089
2000-01-01 00:29:00 EST,+218.211,-126.081
2000-01-01 00:30:00 EST,+218.195,-126.079
2000-01-01 00:31:00 EST,+218.179,-126.071
2000-01-01 00:32:00 EST,+218.181,-126.07
2000-01-01 00:33:00 EST,+218.172,-126.076
2000-01-01 00:34:00 EST,+218.169,-126.076
2000-01-01 00:35:00 EST,+218.173,-126.077
2000-01-01 00:36:00 EST,+218.17,-126.075
2000-01-01 00:37:00 EST,+218.156,-126.071
2000-01-01 00:38:00 EST,+218.14,-126.06
2000-01-01 00:39:00 EST,+218.135,-126.059
2000-01-01 00:40:00 EST,+218.104,-126.046
2000-01-01 00:41:00 EST,+218.101,-126.049
2000-01-01 00:42:00 EST,+218.107,-126.048
2000-01-01 00:43:00 EST,+218.114,-126.053
2000-01-01 00:44:00 EST,+218.123,-126.061
2000-01-01 00:45:00 EST,+218.12,-126.058
2000-01-01 00:46:00 EST,+218.148,-126.065
2000-01-01 00:47:00 EST,+218.14,-126.052
2000-01-01 00:48:00 EST,+218.144,-126.051
2000-01-01 00:49:00 EST,+218.116,-126.036
2000-01-01 00:50:00 EST,+218.1,-126.034
2000-01-01 00:51:00 EST,+218.106,-126.039
2000-01-01 00:52:00 EST,+218.11,-126.039
2000-01-01 00:53:00 EST,+218.11,-126.039
2000-01-01 00:54:00 EST,+217.928,-125.989
2000-01-01 00:55:00 EST,+217.932,-125.997
2000-01-01 00:56:00 EST,+217.903,-125.994
2000-01-01 00:57:00 EST,+218.086,-126.042
2000-01-01 00:58:00 EST,+218.09,-126.046
2000-01-01 00:59:00 EST,+218.08,-126.056
2000-01-01 01:00:00 EST,+218.072,-126.053
2000-01-01 01:01:00 EST,+218.188,-126.082
2000-01-01 01:02:00 EST,+218.189,-126.083
2000-01-01 01:03:00 EST,+218.187,-126.08
2000-01-01 01:04:00 EST,+218.194,-126.081
2000-01-01 01:05:00 EST,+218.2,-126.088
2000-01-01 01:06:00 EST,+218.202,-126.083
2000-01-01 01:07:00 EST,+218.212,-126.082
2000-01-01 01:08:00 EST,+218.199,-126.075
2000-01-01 01:09:00 EST,+218.215,-126.079
2000-01-01 01:10:00 EST,+218.225,-126.083
2000-01-01 01:11:00 EST,+218.26,-126.098
2000-01-01 01:12:00 EST,+218.255,-126.099
2000-01-01 01:13:00 EST,+218.232,-126.095
2000-01-01 01:14:00 EST,+218.203,-126.085
2000-01-01 01:15:00 EST,+218.203,-126.085
2000-01-01 01:16:00 EST,+218.194,-126.091
2000-01-01 01:17:00 EST,+218.205,-126.082
2000-01-01 01:18:00 EST,+218.225,-126.102
2000-01-01 01:19:00 EST,+218.227,-126.098
2000-01-01 01:20:00 EST,+218.225,-126.102
2000-01-01 01:21:00 EST,+218.239,-126.096
2000-01-01 01:22:00 EST,+218.255,-126.099
2000-01-01 01:23:00 EST,+218.255,-126.098
2000-01-01 01:24:00 EST,+218.248,-126.099
2000-01-01 01:25:00 EST,+218.273,-126.104
2000-01-01 01:26:00 EST,+218.287,-126.105
2000-01-01 01:27:00 EST,+218.288,-126.102
2000-01-01 01:28:00 EST,+218.311,-126.111
2000-01-01 01:29:00 EST,+218.309,-126.107
2000-01-01 01:30:00 EST,+218.309,-126.107
2000-01-01 01:31:00 EST,+218.299,-126.107
2000-01-01 01:32:00 EST,+218.29,-126.104
2000-01-01 01:33:00 EST,+218.29,-126.104
2000-01-01 01:34:00 EST,+218.291,-126.103
2000-01-01 01:35:00 EST,+218.301,-126.108
2000-01-01 01:36:00 EST,+218.297,-126.109
2000-01-01 01:37:00 EST,+218.296,-126.104
2000-01-01 01:38:00 EST,+218.297,-126.093
2000-01-01 01:39:00 EST,+218.265,-126.089
2000-01-01 01:40:00 EST,+218.272,-126.082
2000-01-01 01:41:00 EST,+218.25,-126.074
2000-01-01 01:42:00 EST,+218.225,-126.068
2000-01-01 01:43:00 EST,+218.199,-126.061
2000-01-01 01:44:00 EST,+218.197,-126.061
2000-01-01 01:45:00 EST,+218.197,-126.061
2000-01-01 01:46:00 EST,+218.2,-126.061
2000-01-01 01:47:00 EST,+218.209,-126.065
2000-01-01 01:48:00 EST,+218.221,-126.07
2000-01-01 01:49:00 EST,+218.244,-126.069
2000-01-01 01:50:00 EST,+218.24,-126.065
2000-01-01 01:51:00 EST,+218.239,-126.065
2000-01-01 01:52:00 EST,+218.239,-126.064
2000-01-01 01:53:00 EST,+218.243,-126.064
2000-01-01 01:54:00 EST,+218.259,-126.07
2000-01-01 01:55:00 EST,+218.281,-126.074
2000-01-01 01:56:00 EST,+218.281,-126.075
2000-01-01 01:57:00 EST,+218.294,-126.084
2000-01-01 01:58:00 EST,+218.285,-126.085
2000-01-01 01:59:00 EST,+218.275,-126.092
2000-01-01 02:00:00 EST,+218.277,-126.096
2000-01-01 02:01:00 EST,+218.299,-126.096
2000-01-01 02:02:00 EST,+218.316,-126.099
2000-01-01 02:03:00 EST,+218.315,-126.102
2000-01-01 02:04:00 EST,+218.296,-126.098
2000-01-01 02:05:00 EST,+218.296,-126.098
2000-01-01 02:06:00 EST,+218.277,-126.093
2000-01-01 02:07:00 EST,+218.277,-126.093
2000-01-01 02:08:00 EST,+218.277,-126.093
2000-01-01 02:09:00 EST,+218.274,-126.098
2000-01-01 02:10:00 EST,+218.256,-126.099
2000-01-01 02:11:00 EST,+218.248,-126.099
2000-01-01 02:12:00 EST,+218.236,-126.106
2000-01-01 02:13:00 EST,+218.218,-126.102
2000-01-01 02:14:00 EST,+218.198,-126.095
2000-01-01 02:15:00 EST,+218.184,-126.092
2000-01-01 02:16:00 EST,+218.184,-126.092
2000-01-01 02:17:00 EST,+218.185,-126.088
2000-01-01 02:18:00 EST,+218.181,-126.088
2000-01-01 02:19:00 EST,+218.208,-126.088
2000-01-01 02:20:00 EST,+218.22,-126.087
2000-01-01 02:21:00 EST,+218.216,-126.084
2000-01-01 02:22:00 EST,+218.234,-126.087
2000-01-01 02:23:00 EST,+218.216,-126.088
2000-01-01 02:24:00 EST,+218.217,-126.092
2000-01-01 02:25:00 EST,+218.215,-126.098
2000-01-01 02:26:00 EST,+218.223,-126.103
2000-01-01 02:27:00 EST,+218.21,-126.096
2000-01-01 02:28:00 EST,+218.198,-126.091
2000-01-01 02:29:00 EST,+218.224,-126.094
2000-01-01 02:30:00 EST,+218.234,-126.092
2000-01-01 02:31:00 EST,+218.216,-126.077
2000-01-01 02:32:00 EST,+218.241,-126.076
2000-01-01 02:33:00 EST,+218.242,-126.074
2000-01-01 02:34:00 EST,+218.214,-126.061
2000-01-01 02:35:00 EST,+218.214,-126.061
2000-01-01 02:36:00 EST,+218.236,-126.061
2000-01-01 02:37:00 EST,+218.22,-126.063
2000-01-01 02:38:00 EST,+218.229,-126.066
2000-01-01 02:39:00 EST,+218.229,-126.066
2000-01-01 02:40:00 EST,+218.225,-126.063
2000-01-01 02:41:00 EST,+218.213,-126.061
2000-01-01 02:42:00 EST,+218.198,-126.065
2000-01-01 02:43:00 EST,+218.201,-126.06
2000-01-01 02:44:00 EST,+218.199,-126.056
2000-01-01 02:45:00 EST,+218.227,-126.068
2000-01-01 02:46:00 EST,+218.234,-126.058
2000-01-01 02:47:00 EST,+218.236,-126.049
2000-01-01 02:48:00 EST,+218.265,-126.056
2000-01-01 02:49:00 EST,+218.266,-126.058
2000-01-01 02:50:00 EST,+218.284,-126.063
2000-01-01 02:51:00 EST,+218.279,-126.061
2000-01-01 02:52:00 EST,+218.288,-126.059
2000-01-01 02:53:00 EST,+218.308,-126.069
2000-01-01 02:54:00 EST,+218.281,-126.064
2000-01-01 02:55:00 EST,+218.297,-126.067
2000-01-01 02:56:00 EST,+218.308,-126.076
2000-01-01 02:57:00 EST,+218.296,-126.072
2000-01-01 02:58:00 EST,+218.296,-126.072
2000-01-01 02:59:00 EST,+218.287,-126.062
2000-01-01 03:00:00 EST,+218.288,-126.059
2000-01-01 03:01:00 EST,+218.284,-126.068
2000-01-01 03:02:00 EST,+218.289,-126.073
2000-01-01 03:03:00 EST,+218.271,-126.071
2000-01-01 03:04:00 EST,+218.258,-126.077
2000-01-01 03:05:00 EST,+218.249,-126.073
2000-01-01 03:06:00 EST,+218.242,-126.073
2000-01-01 03:07:00 EST,+218.242,-126.073
2000-01-01 03:08:00 EST,+218.249,-126.079
2000-01-01 03:09:00 EST,+218.234,-126.085
2000-01-01 03:10:00 EST,+218.216,-126.083
2000-01-01 03:11:00 EST,+218.221,-126.092
2000-01-01 03:12:00 EST,+218.22,-126.095
2000-01-01 03:13:00 EST,+218.22,-126.095
2000-01-01 03:14:00 EST,+218.202,-126.091
2000-01-01 03:15:00 EST,+218.203,-126.086
2000-01-01 03:16:00 EST,+218.227,-126.097
2000-01-01 03:17:00 EST,+218.238,-126.104
2000-01-01 03:18:00 EST,+218.249,-126.092
2000-01-01 03:19:00 EST,+218.232,-126.084
2000-01-01 03:20:00 EST,+218.231,-126.085
2000-01-01 03:21:00 EST,+218.237,-126.093
