# Result_no_control/output_current_end.csv run at 2000-01-02 00:00:00 EST on 907 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
Source_Impedance,0.515783,-0.230079,0.516908,3.784915,0.436780,1.775085
TR1,0.515783,-0.230079,0.516908,3.784915,0.436780,1.775085
LINE1,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE2,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE3,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE4,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE5,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE6,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE7,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE8,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE9,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE10,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE11,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE12,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE13,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE14,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE15,0.000000,4.099454,0.000000,4.687457,0.000000,-1.391581
LINE16,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE17,0.000000,3.902059,0.000000,-0.810330,0.000000,-1.547913
LINE18,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE19,0.000000,3.791402,0.000000,0.140217,0.000000,-1.564001
LINE20,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE21,0.000000,3.760162,0.000000,0.438716,0.000000,4.696246
LINE22,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE23,0.000000,4.269233,0.000000,-0.024932,0.000000,4.685992
LINE24,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE25,0.000000,4.099454,0.000000,-0.269911,0.000000,1.584582
LINE26,1.599709,-0.841478,0.000000,-0.439743,0.000000,1.565786
LINE27,9.925073,-0.841136,15.649325,3.347770,11.579056,1.252475
LINE28,0.000000,4.409157,0.000000,-0.488580,0.000000,1.588807
LINE29,0.150359,-0.841488,0.000000,-1.031476,0.000000,1.658688
LINE30,1.449350,-0.841478,0.000000,-0.447299,0.000000,1.566433
LINE31,9.925073,-0.841136,15.649325,3.347770,11.579056,1.252475
LINE32,0.000000,-1.478619,0.000000,-1.007726,0.000000,1.581622
LINE33,0.150359,-0.841488,0.000000,-0.359198,0.000000,4.586345
LINE34,1.449350,-0.841478,0.000000,0.050480,0.000000,1.584884
