# Result_no_control/output_current_offpeak.csv run at 2000-01-01 00:01:00 EST on 907 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
Source_Impedance,0.166895,-0.384961,0.136221,3.824525,0.156510,1.889304
TR1,0.166895,-0.384961,0.136221,3.824525,0.156510,1.889304
LINE1,4.916990,-0.841189,3.888852,3.347451,3.307630,1.253214
LINE2,4.916990,-0.841189,3.888852,3.347451,3.307630,1.253214
LINE3,4.916990,-0.841189,3.888852,3.347451,3.307630,1.253214
LINE4,4.916990,-0.841189,3.888852,3.347451,3.307630,1.253214
LINE5,4.916990,-0.841189,3.888852,3.347451,3.307630,1.253214
LINE6,4.916990,-0.841189,3.888852,3.347451,3.307630,1.253214
LINE7,4.916990,-0.841189,3.888852,3.347451,3.307630,1.253214
LINE8,4.916990,-0.841189,3.888852,3.347451,3.307630,1.253214
LINE9,4.916990,-0.841189,3.888852,3.347451,3.307630,1.253214
LINE10,4.916990,-0.841189,3.888852,3.347451,3.307630,1.253214
LINE11,4.916990,-0.841189,3.888852,3.347451,3.307630,1.253214
LINE12,4.916990,-0.841189,3.888852,3.347451,3.307630,1.253214
LINE13,4.916990,-0.841189,3.888852,3.347451,3.307630,1.253214
LINE14,4.916990,-0.841189,3.888852,3.347451,3.307630,1.253214
LINE15,0.000000,-0.869086,0.000000,3.650369,0.000000,1.571727
LINE16,4.916990,-0.841189,3.888852,3.347451,3.307630,1.253214
LINE17,0.000000,-1.132081,0.000000,3.704663,0.000000,1.571358
LINE18,4.916990,-0.841189,3.888852,3.347451,3.307630,1.253214
LINE19,0.000000,0.000000,0.000000,3.361639,0.000000,1.576671
LINE20,4.916990,-0.841189,3.888852,3.347451,3.307630,1.253214
LINE21,0.000000,3.116661,0.000000,2.992306,0.000000,1.577784
LINE22,4.916990,-0.841189,3.888852,3.347451,3.307630,1.253214
LINE23,0.000000,-0.488580,0.000000,3.302009,0.000000,1.572930
LINE24,4.916990,-0.841189,3.888852,3.347451,3.307630,1.253214
LINE25,0.000000,-0.488580,0.000000,3.424714,0.000000,1.572863
LINE26,0.768293,-0.841294,0.000000,3.320822,0.000000,1.549041
LINE27,4.148697,-0.841170,3.888852,3.347451,3.307630,1.253214
LINE28,0.000000,-0.383703,0.000000,3.361639,0.000000,1.571792
LINE29,0.150316,-0.841297,0.000000,3.740689,0.000000,-1.458610
LINE30,0.617976,-0.841294,0.000000,3.321925,0.000000,1.551617
LINE31,4.148697,-0.841170,3.888852,3.347451,3.307630,1.253214
LINE32,0.000000,-0.256023,0.000000,3.376290,0.000000,1.573115
LINE33,0.150316,-0.841297,0.000000,-0.811566,0.000000,4.559029
LINE34,0.617976,-0.841294,0.000000,3.538517,0.000000,1.530228
LINE35,0.000000,2.372309,0.471831,3.347460,0.000000,1.574781
LINE36,4.148697,-0.841170,3.417021,3.347450,3.307630,1.253214
LINE37,0.000000,-0.287927,0.000000,3.327754,0.000000,1.576506
LINE38,0.617976,-0.841294,0.000000,4.009453,0.000000,1.617738
LINE39,0.000000,2.167845,0.233828,3.347460,0.000000,1.612887
LINE40,0.000000,3.096295,0.238003,3.347460,0.000000,4.671149
LINE41,4.148697,-0.841170,3.417021,3.347450,3.307630,1.253214
LINE42,0.000000,2.341566,0.000000,-0.133770,0.000000,4.609708
LINE43,0.000000,-0.190081,0.000000,3.281809,0.000000,1.577186
LINE44,0.617976,-0.841294,0.000000,3.089237,0.000000,4.607894
LINE45,0.000000,2.054208,0.233828,3.347460,0.000000,3.650091
LINE46,0.000000,2.913929,0.238003,3.347460,0.000000,-1.528868
LINE47,4.148697,-0.841170,3.417021,3.347450,3.307630,1.253214
LINE48,0.000000,2.352347,0.000000,-0.057453,0.000000,1.158836
LINE49,0.000000,-0.488580,0.000000,3.241016,0.000000,1.659629
LINE50,0.617976,-0.841294,0.000000,-0.045076,0.000000,4.711945
LINE51,0.000000,2.192510,0.233828,3.347460,0.000000,4.671365
LINE52,4.148697,-0.841170,3.417021,3.347450,3.307630,1.253214
LINE53,0.000000,0.069931,0.000000,0.382533,0.000000,4.406338
LINE54,0.000000,2.398727,0.000000,0.223252,0.000000,1.601069
LINE55,0.000000,-0.810330,0.000000,3.241016,0.000000,1.615656
LINE56,0.617976,-0.841294,0.000000,0.283986,0.000000,4.686715
LINE57,0.000000,1.863418,0.233828,3.347460,0.000000,4.643757
LINE58,4.148697,-0.841170,3.417021,3.347450,3.307630,1.253214
LINE59,0.000000,0.311895,0.000000,0.535074,0.000000,4.371709
LINE60,0.000000,2.401541,0.000000,0.142057,0.000000,1.568943
LINE61,0.000000,-0.612935,0.000000,3.179080,0.000000,1.617944
LINE62,0.617976,-0.841294,0.000000,0.882988,0.000000,-1.508913
LINE63,0.000000,2.323483,0.233828,3.347460,0.000000,4.689809
LINE64,3.559794,-0.841159,3.417021,3.347450,3.307630,1.253214
LINE65,0.588904,-0.841235,0.000000,-0.387157,0.000000,-0.650771
LINE66,0.000000,1.005368,0.000000,1.083001,0.000000,2.523114
LINE67,0.000000,2.059176,0.000000,0.257936,0.000000,1.910057
LINE68,0.000000,-0.269911,0.000000,3.216329,0.000000,1.647805
LINE69,0.617976,-0.841294,0.000000,3.512441,0.000000,2.068545
LINE70,0.000000,2.114925,0.233828,3.347460,0.000000,1.560815
LINE71,3.559794,-0.841159,3.417021,3.347450,3.307630,1.253214
LINE72,0.204654,-0.841236,0.000000,3.139525,0.000000,1.563345
LINE73,0.384250,-0.841235,0.000000,4.136661,0.000000,1.535921
LINE74,0.000000,0.546118,0.000000,1.416542,0.000000,2.206970
LINE75,0.000000,2.347236,0.000000,0.464663,0.000000,1.631660
LINE76,0.000000,-0.173822,0.000000,3.085421,0.000000,1.632742
LINE77,0.000000,1.538561,0.233828,3.347460,0.000000,1.559146
LINE78,3.559794,-0.841159,3.417021,3.347450,3.307630,1.253214
LINE79,0.000000,0.388701,0.000000,1.256787,0.000000,2.756022
LINE80,0.000000,2.387817,0.000000,0.367125,0.000000,1.554397
LINE81,0.000000,-0.190081,0.000000,3.101510,0.000000,1.625626
LINE82,0.000000,3.075999,0.233828,3.347460,0.000000,3.174181
LINE83,3.559794,-0.841159,3.417021,3.347450,3.307630,1.253214
LINE84,0.000000,-1.015030,0.000000,0.893256,0.000000,2.603115
LINE85,0.000000,2.373123,0.000000,0.346694,0.000000,1.613677
LINE86,0.000000,-0.139809,0.000000,3.116661,0.000000,1.620117
LINE87,3.559794,-0.841159,3.417021,3.347450,3.307630,1.253214
LINE88,0.000000,3.524613,0.000000,0.170018,0.000000,1.895199
LINE89,0.000000,2.379036,0.000000,0.346489,0.000000,1.618513
LINE90,0.000000,-0.124601,0.000000,3.149982,0.000000,1.617397
LINE91,3.559794,-0.841159,3.417021,3.347450,3.307630,1.253214
LINE92,0.000000,2.530079,0.000000,0.384555,0.000000,4.649392
LINE93,0.000000,-0.269911,0.000000,3.116661,0.000000,3.116661
LINE94,3.559794,-0.841159,3.417021,3.347450,3.307630,1.253214
LINE95,0.000000,2.241498,0.000000,0.493167,0.000000,4.641122
LINE96,0.000000,2.331263,0.000000,0.000000,0.000000,4.678180
LINE97,3.559794,-0.841159,3.417021,3.347450,3.307630,1.253214
LINE98,0.000000,2.857785,0.000000,-0.849848,0.000000,4.051734
LINE99,0.000000,1.545864,0.000000,4.687457,0.000000,4.710768
LINE100,3.559794,-0.841159,3.417021,3.347450,3.307630,1.253214
