# Result_no_control/output_current_peak.csv run at 2000-01-01 18:03:00 EST on 907 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
Source_Impedance,16.323802,-0.361240,14.022677,3.812380,15.106637,1.858452
TR1,16.323802,-0.361240,14.022677,3.812380,15.106637,1.858452
LINE1,456.152092,-0.841754,402.730371,3.331364,340.675209,1.249513
LINE2,456.152092,-0.841754,402.730371,3.331364,340.675209,1.249513
LINE3,456.152092,-0.841754,402.730371,3.331364,340.675209,1.249513
LINE4,456.152092,-0.841754,402.730371,3.331364,340.675209,1.249513
LINE5,456.152092,-0.841754,402.730371,3.331364,340.675209,1.249513
LINE6,456.152092,-0.841754,402.730371,3.331364,340.675209,1.249513
LINE7,456.152092,-0.841754,402.730371,3.331364,340.675209,1.249513
LINE8,456.152092,-0.841754,402.730371,3.331364,340.675209,1.249513
LINE9,456.152092,-0.841754,402.730371,3.331364,340.675209,1.249513
LINE10,456.152092,-0.841754,402.730371,3.331364,340.675209,1.249513
LINE11,456.152092,-0.841754,402.730371,3.331364,340.675209,1.249513
LINE12,456.152092,-0.841754,402.730371,3.331364,340.675209,1.249513
LINE13,456.152092,-0.841754,402.730371,3.331364,340.675209,1.249513
LINE14,456.152092,-0.841754,402.730371,3.331364,340.675209,1.249513
LINE15,0.000000,-1.496060,0.000000,4.243038,0.000000,4.678082
LINE16,456.152092,-0.841754,402.730371,3.331364,340.675209,1.249513
LINE17,0.000000,4.365707,0.000000,4.365707,0.000000,4.687457
LINE18,456.152092,-0.841754,402.730371,3.331364,340.675209,1.249513
LINE19,0.000000,4.306951,0.000000,4.099454,0.000000,1.623831
LINE20,456.152092,-0.841754,402.730371,3.331364,340.675209,1.249513
LINE21,0.000000,3.760162,0.000000,3.438411,0.000000,3.116661
LINE22,456.152092,-0.841754,402.730371,3.331364,340.675209,1.249513
LINE23,0.000000,-0.920987,0.000000,4.223809,0.000000,1.623831
LINE24,456.152092,-0.841754,402.730371,3.331364,340.675209,1.249513
LINE25,0.000000,-0.488580,0.000000,4.365707,0.000000,1.571250
LINE26,41.293594,-0.854937,0.000000,3.583517,0.000000,-1.505650
LINE27,414.862443,-0.840442,402.730371,3.331364,340.675209,1.249513
LINE28,0.000000,-0.488580,0.000000,3.902059,0.000000,1.572644
LINE29,23.000636,-0.854937,0.000000,0.241639,0.000000,1.572081
LINE30,18.292958,-0.854937,0.000000,3.585859,0.000000,-1.507436
LINE31,414.862443,-0.840442,402.730371,3.331364,340.675209,1.249513
LINE32,0.000000,-0.518873,0.000000,4.026414,0.000000,1.570599
LINE33,23.000636,-0.854937,0.000000,1.616251,0.000000,4.609238
LINE34,18.292958,-0.854937,0.000000,3.688886,0.000000,-1.530911
LINE35,0.000000,-0.319590,38.828576,3.331807,0.000000,1.598307
LINE36,414.862443,-0.840442,363.901799,3.331317,340.675209,1.249513
LINE37,0.000000,-0.457340,0.000000,3.936528,0.000000,1.568588
LINE38,18.292958,-0.854937,0.000000,3.523624,0.000000,4.447794
LINE39,0.000000,-0.350769,20.771110,3.331819,0.000000,1.607149
LINE40,0.000000,2.817091,18.057466,3.331793,0.000000,-0.626263
LINE41,414.862443,-0.840442,363.901799,3.331317,340.675209,1.249513
LINE42,0.000000,1.714676,0.000000,-0.346187,0.000000,1.310390
LINE43,0.000000,-0.668433,0.000000,4.223809,0.000000,1.538052
LINE44,18.292958,-0.854937,0.000000,-1.240365,0.000000,0.357356
LINE45,0.000000,-0.094065,20.771110,3.331819,0.000000,1.591925
LINE46,0.000000,3.475337,18.057466,3.331793,0.000000,4.582548
LINE47,414.862443,-0.840442,363.901799,3.331317,340.675209,1.249513
LINE48,0.000000,1.677870,0.000000,-0.379544,0.000000,1.324146
LINE49,0.000000,3.580308,0.000000,4.687457,0.000000,1.545864
LINE50,18.292958,-0.854937,0.000000,-0.370513,0.000000,-1.566975
LINE51,0.000000,0.630900,20.771110,3.331819,0.000000,1.629495
