# Result_no_control/output_voltage_end.csv run at 2000-01-02 00:00:00 EST on 963 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
SourceBus,6668.395609,0.000000,6668.395609,4.188790,6668.395609,2.094395
Bus1,252.129291,-0.524094,252.108492,3.664553,252.122911,1.570315
Bus2,252.124828,-0.524086,252.099322,3.664560,252.117570,1.570312
Bus3,252.124360,-0.524085,252.098361,3.664560,252.117010,1.570312
Bus4,252.123922,-0.524084,252.097460,3.664561,252.116485,1.570312
Bus5,252.123540,-0.524084,252.096675,3.664561,252.116028,1.570311
Bus6,252.122938,-0.524083,252.095438,3.664562,252.115307,1.570311
Bus7,252.081943,-0.524011,252.011207,3.664625,252.066244,1.570288
Bus8,252.080107,-0.524008,252.007434,3.664628,252.064047,1.570287
Bus9,252.078579,-0.524005,252.004294,3.664630,252.062218,1.570286
Bus10,252.077238,-0.524003,252.001539,3.664632,252.060613,1.570285
Bus11,252.076237,-0.524001,251.999483,3.664634,252.059415,1.570285
Bus12,252.075297,-0.523999,251.997552,3.664635,252.058291,1.570284
Bus13,252.074720,-0.523998,251.996366,3.664636,252.057599,1.570284
Bus14,252.073282,-0.523996,251.993411,3.664638,252.055878,1.570283
Bus15,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus16,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus17,252.047504,-0.523951,251.940446,3.664678,252.025027,1.570268
Bus18,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus19,252.046532,-0.523949,251.938448,3.664679,252.023864,1.570268
Bus20,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus21,252.045441,-0.523947,251.936206,3.664681,252.022557,1.570267
Bus22,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus23,252.043664,-0.523944,251.932554,3.664684,252.020430,1.570266
Bus24,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus25,252.040431,-0.523939,251.925911,3.664689,252.016561,1.570264
Bus26,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus27,252.029702,-0.523928,251.925943,3.664688,252.016678,1.570265
Bus28,252.012394,-0.523879,251.841450,3.664772,251.963918,1.570226
Bus29,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus30,252.029424,-0.523928,251.925944,3.664688,252.016681,1.570265
Bus31,252.027093,-0.523925,251.925951,3.664688,252.016706,1.570265
Bus32,252.004931,-0.523863,251.818965,3.664795,251.949904,1.570216
Bus33,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus34,252.028788,-0.523927,251.925946,3.664688,252.016688,1.570265
Bus35,252.027004,-0.523925,251.925951,3.664688,252.016707,1.570265
Bus36,252.004964,-0.523863,251.815893,3.664798,251.949913,1.570216
Bus37,251.981376,-0.523819,251.753944,3.664860,251.907239,1.570191
Bus38,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus39,252.026877,-0.523925,251.925952,3.664688,252.016709,1.570265
Bus40,252.004966,-0.523863,251.815787,3.664798,251.949913,1.570216
Bus41,252.004970,-0.523863,251.815404,3.664798,251.949914,1.570216
Bus42,251.965031,-0.523788,251.708825,3.664905,251.877633,1.570173
Bus43,251.981376,-0.523819,251.753944,3.664860,251.907239,1.570191
Bus44,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus45,252.026715,-0.523925,251.925952,3.664688,252.016711,1.570265
Bus46,252.004966,-0.523863,251.815739,3.664798,251.949913,1.570216
Bus47,252.004983,-0.523863,251.814228,3.664799,251.949918,1.570216
Bus48,251.952680,-0.523765,251.674730,3.664939,251.855261,1.570160
Bus49,251.981376,-0.523819,251.753944,3.664860,251.907239,1.570191
Bus50,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus51,252.026318,-0.523925,251.925953,3.664688,252.016715,1.570265
Bus52,252.004967,-0.523863,251.815688,3.664798,251.949913,1.570216
Bus53,251.950899,-0.523761,251.669815,3.664944,251.852036,1.570158
Bus54,251.952680,-0.523765,251.674730,3.664939,251.855261,1.570160
Bus55,251.981376,-0.523819,251.753944,3.664860,251.907239,1.570191
Bus56,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus57,252.025978,-0.523924,251.925954,3.664688,252.016719,1.570265
Bus58,252.004967,-0.523863,251.815639,3.664798,251.949913,1.570216
Bus59,251.942832,-0.523746,251.647548,3.664966,251.837425,1.570149
Bus60,251.952680,-0.523765,251.674730,3.664939,251.855261,1.570160
Bus61,251.981376,-0.523819,251.753944,3.664860,251.907239,1.570191
Bus62,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus63,252.024350,-0.523923,251.925959,3.664688,252.016736,1.570265
Bus64,252.004967,-0.523863,251.815610,3.664798,251.949914,1.570216
Bus65,251.942139,-0.523744,251.642929,3.664972,251.834139,1.570146
Bus66,251.922530,-0.523726,251.647609,3.664965,251.837646,1.570150
Bus67,251.952680,-0.523765,251.674730,3.664939,251.855261,1.570160
Bus68,251.981376,-0.523819,251.753944,3.664860,251.907239,1.570191
Bus69,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus70,252.018594,-0.523917,251.925976,3.664687,252.016799,1.570265
Bus71,252.004968,-0.523863,251.815554,3.664798,251.949914,1.570216
Bus72,251.933943,-0.523718,251.588359,3.665045,251.795326,1.570112
Bus73,251.921591,-0.523725,251.647612,3.664965,251.837657,1.570150
Bus74,251.913545,-0.523717,251.647636,3.664964,251.837745,1.570150
Bus75,251.952680,-0.523765,251.674730,3.664939,251.855261,1.570160
Bus76,251.981376,-0.523819,251.753944,3.664860,251.907239,1.570191
Bus77,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus78,252.004971,-0.523863,251.815265,3.664798,251.949915,1.570216
Bus79,251.931087,-0.523708,251.569338,3.665071,251.781797,1.570100
Bus80,251.952680,-0.523765,251.674730,3.664939,251.855261,1.570160
Bus81,251.981376,-0.523819,251.753944,3.664860,251.907239,1.570191
Bus82,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus83,252.004983,-0.523863,251.814180,3.664800,251.949918,1.570216
Bus84,251.930463,-0.523706,251.565187,3.665076,251.778844,1.570097
Bus85,251.952680,-0.523765,251.674730,3.664939,251.855261,1.570160
Bus86,251.981376,-0.523819,251.753944,3.664860,251.907239,1.570191
Bus87,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus88,251.929199,-0.523702,251.556769,3.665087,251.772857,1.570092
Bus89,251.952680,-0.523765,251.674730,3.664939,251.855261,1.570160
Bus90,251.981376,-0.523819,251.753944,3.664860,251.907239,1.570191
Bus91,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus92,251.928007,-0.523698,251.548831,3.665098,251.767211,1.570087
Bus93,251.981376,-0.523819,251.753944,3.664860,251.907239,1.570191
Bus94,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus95,251.927314,-0.523696,251.544217,3.665104,251.763929,1.570084
Bus96,251.981376,-0.523819,251.753944,3.664860,251.907239,1.570191
Bus97,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus98,251.926856,-0.523695,251.541170,3.665108,251.761762,1.570082
Bus99,251.981376,-0.523819,251.753944,3.664860,251.907239,1.570191
Bus100,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus101,251.926224,-0.523693,251.536963,3.665114,251.758769,1.570079
Bus102,251.981376,-0.523819,251.753944,3.664860,251.907239,1.570191
Bus103,252.061632,-0.523976,251.969473,3.664656,252.041935,1.570276
Bus104,251.926236,-0.523693,251.536905,3.665114,251.758757,1.570079
Bus105,251.925741,-0.523692,251.534478,3.665117,251.756858,1.570078
Bus106,251.981376,-0.523819,251.753944,3.664860,251.907239,1.570191
Bus107,251.926250,-0.523693,251.536834,3.665114,251.758741,1.570079
Bus108,251.925466,-0.523691,251.533070,3.665119,251.755774,1.570077
