# Result_no_control/output_voltage_offpeak.csv run at 2000-01-01 00:01:00 EST on 963 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
SourceBus,6668.395609,0.000000,6668.395609,4.188790,6668.395609,2.094395
Bus1,252.162474,-0.523800,252.165300,3.665032,252.169773,1.570653
Bus2,252.159638,-0.523797,252.163316,3.665031,252.168663,1.570655
Bus3,252.159341,-0.523797,252.163109,3.665031,252.168546,1.570655
Bus4,252.159062,-0.523797,252.162914,3.665030,252.168437,1.570655
Bus5,252.158819,-0.523797,252.162744,3.665030,252.168342,1.570655
Bus6,252.158437,-0.523796,252.162476,3.665030,252.168192,1.570655
Bus7,252.132388,-0.523770,252.144251,3.665022,252.157989,1.570672
Bus8,252.131221,-0.523769,252.143435,3.665021,252.157532,1.570673
Bus9,252.130250,-0.523768,252.142755,3.665021,252.157152,1.570674
Bus10,252.129398,-0.523767,252.142159,3.665021,252.156818,1.570674
Bus11,252.128762,-0.523766,252.141714,3.665021,252.156569,1.570675
Bus12,252.128165,-0.523765,252.141297,3.665020,252.156335,1.570675
Bus13,252.127798,-0.523765,252.141040,3.665020,252.156191,1.570675
Bus14,252.126884,-0.523764,252.140401,3.665020,252.155833,1.570676
Bus15,252.119481,-0.523757,252.135221,3.665017,252.152934,1.570681
Bus16,252.119481,-0.523757,252.135221,3.665017,252.152934,1.570681
Bus17,252.110504,-0.523747,252.128940,3.665015,252.149417,1.570686
Bus18,252.119481,-0.523757,252.135221,3.665017,252.152934,1.570681
Bus19,252.109887,-0.523747,252.128508,3.665014,252.149175,1.570687
Bus20,252.119481,-0.523757,252.135221,3.665017,252.152934,1.570681
Bus21,252.109193,-0.523746,252.128023,3.665014,252.148904,1.570687
Bus22,252.119481,-0.523757,252.135221,3.665017,252.152934,1.570681
Bus23,252.108064,-0.523745,252.127233,3.665014,252.148461,1.570688
Bus24,252.119481,-0.523757,252.135221,3.665017,252.152934,1.570681
Bus25,252.106009,-0.523743,252.125796,3.665013,252.147657,1.570689
Bus26,252.119481,-0.523757,252.135221,3.665017,252.152934,1.570681
Bus27,252.100857,-0.523738,252.125811,3.665013,252.147713,1.570690
Bus28,252.086258,-0.523722,252.107200,3.665015,252.135578,1.570699
Bus29,252.119481,-0.523757,252.135221,3.665017,252.152934,1.570681
Bus30,252.100579,-0.523738,252.125812,3.665013,252.147716,1.570690
Bus31,252.099744,-0.523737,252.125814,3.665013,252.147725,1.570690
Bus32,252.080999,-0.523717,252.102250,3.665016,252.132362,1.570701
Bus33,252.119481,-0.523757,252.135221,3.665017,252.152934,1.570681
Bus34,252.099943,-0.523737,252.125814,3.665013,252.147723,1.570690
Bus35,252.099707,-0.523737,252.125814,3.665013,252.147726,1.570690
Bus36,252.081033,-0.523716,252.099181,3.665019,252.132371,1.570701
Bus37,252.064114,-0.523703,252.090243,3.665015,252.122351,1.570714
Bus38,252.119481,-0.523757,252.135221,3.665017,252.152934,1.570681
Bus39,252.099652,-0.523737,252.125815,3.665013,252.147726,1.570690
Bus40,252.081034,-0.523716,252.099074,3.665019,252.132372,1.570701
Bus41,252.081038,-0.523716,252.098692,3.665019,252.132373,1.570701
Bus42,252.052396,-0.523694,252.081912,3.665014,252.115404,1.570723
Bus43,252.064114,-0.523703,252.090243,3.665015,252.122351,1.570714
Bus44,252.119481,-0.523757,252.135221,3.665017,252.152934,1.570681
Bus45,252.099583,-0.523737,252.125815,3.665013,252.147727,1.570690
Bus46,252.081035,-0.523716,252.099027,3.665019,252.132372,1.570701
Bus47,252.081051,-0.523716,252.097518,3.665020,252.132376,1.570701
Bus48,252.043542,-0.523687,252.075616,3.665013,252.110154,1.570729
Bus49,252.064114,-0.523703,252.090243,3.665015,252.122351,1.570714
Bus50,252.119481,-0.523757,252.135221,3.665017,252.152934,1.570681
Bus51,252.099414,-0.523736,252.125815,3.665013,252.147729,1.570690
Bus52,252.081035,-0.523716,252.098976,3.665019,252.132372,1.570701
Bus53,252.042265,-0.523686,252.074708,3.665013,252.109397,1.570730
Bus54,252.043542,-0.523687,252.075616,3.665013,252.110154,1.570729
Bus55,252.064114,-0.523703,252.090243,3.665015,252.122351,1.570714
Bus56,252.119481,-0.523757,252.135221,3.665017,252.152934,1.570681
Bus57,252.099269,-0.523736,252.125816,3.665013,252.147730,1.570690
Bus58,252.081036,-0.523716,252.098928,3.665019,252.132372,1.570701
Bus59,252.036482,-0.523682,252.070597,3.665013,252.105969,1.570735
Bus60,252.043542,-0.523687,252.075616,3.665013,252.110154,1.570729
Bus61,252.064114,-0.523703,252.090243,3.665015,252.122351,1.570714
Bus62,252.119481,-0.523757,252.135221,3.665017,252.152934,1.570681
Bus63,252.098575,-0.523736,252.125818,3.665013,252.147738,1.570690
