# Result_no_control/output_voltage_peak.csv run at 2000-01-01 18:03:00 EST on 963 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
SourceBus,6668.395609,0.000000,6668.395609,4.188790,6668.395609,2.094395
Bus1,248.383686,-0.557612,248.250783,3.636114,249.321025,1.546526
Bus2,247.938093,-0.557175,247.875543,3.636060,249.121707,1.546726
Bus3,247.891382,-0.557130,247.836205,3.636054,249.100812,1.546747
Bus4,247.847621,-0.557087,247.799351,3.636049,249.081237,1.546767
Bus5,247.809468,-0.557049,247.767219,3.636044,249.064170,1.546784
Bus6,247.749363,-0.556990,247.716599,3.636037,249.037283,1.546811
Bus7,243.658555,-0.552903,244.269656,3.635532,247.206853,1.548668
Bus8,243.475431,-0.552717,244.115275,3.635509,247.124891,1.548752
Bus9,243.323020,-0.552562,243.986780,3.635490,247.056673,1.548822
Bus10,243.189271,-0.552425,243.874015,3.635473,246.996808,1.548883
Bus11,243.089473,-0.552323,243.789872,3.635461,246.952138,1.548929
Bus12,242.995789,-0.552228,243.710882,3.635449,246.910204,1.548972
Bus13,242.938183,-0.552169,243.662310,3.635442,246.884419,1.548998
Bus14,242.794774,-0.552022,243.541389,3.635424,246.820226,1.549064
Bus15,241.633232,-0.550827,242.561826,3.635277,246.300250,1.549599
Bus16,241.633232,-0.550827,242.561826,3.635277,246.300250,1.549599
Bus17,240.225132,-0.549362,241.373946,3.635097,245.669785,1.550250
Bus18,241.633232,-0.550827,242.561826,3.635277,246.300250,1.549599
Bus19,240.128265,-0.549261,241.292213,3.635085,245.626409,1.550295
Bus20,241.633232,-0.550827,242.561826,3.635277,246.300250,1.549599
Bus21,240.019498,-0.549147,241.200436,3.635071,245.577703,1.550345
Bus22,241.633232,-0.550827,242.561826,3.635277,246.300250,1.549599
Bus23,239.842410,-0.548961,241.051006,3.635048,245.498402,1.550427
Bus24,241.633232,-0.550827,242.561826,3.635277,246.300250,1.549599
Bus25,239.520265,-0.548622,240.779155,3.635006,245.354138,1.550577
Bus26,241.633232,-0.550827,242.561826,3.635277,246.300250,1.549599
Bus27,239.059183,-0.548147,240.780578,3.634979,245.359199,1.550595
Bus28,236.021527,-0.544825,237.319001,3.635472,243.367403,1.551802
Bus29,241.633232,-0.550827,242.561826,3.635277,246.300250,1.549599
Bus30,238.991234,-0.548077,240.780788,3.634975,245.359945,1.550598
Bus31,239.001654,-0.548087,240.780755,3.634976,245.359831,1.550598
Bus32,235.090691,-0.543795,236.397861,3.635599,242.838564,1.552131
Bus33,241.633232,-0.550827,242.561826,3.635277,246.300250,1.549599
Bus34,238.835630,-0.547916,240.781268,3.634966,245.361653,1.550604
Bus35,238.999706,-0.548085,240.780761,3.634975,245.359852,1.550598
Bus36,235.095482,-0.543777,235.963184,3.636053,242.839805,1.552105
Bus37,232.136495,-0.541173,234.032215,3.635579,241.200982,1.553904
Bus38,241.633232,-0.550827,242.561826,3.635277,246.300250,1.549599
Bus39,238.996904,-0.548083,240.780770,3.634975,245.359883,1.550598
Bus40,235.095656,-0.543776,235.947366,3.636069,242.839850,1.552104
Bus41,235.096206,-0.543774,235.897506,3.636121,242.839993,1.552101
Bus42,230.087437,-0.539314,232.390614,3.635565,240.065059,1.555148
Bus43,232.136495,-0.541173,234.032215,3.635579,241.200982,1.553904
Bus44,241.633232,-0.550827,242.561826,3.635277,246.300250,1.549599
Bus45,238.993312,-0.548079,240.780781,3.634975,245.359922,1.550598
Bus46,235.095735,-0.543776,235.940236,3.636077,242.839871,1.552104
Bus47,235.097948,-0.543767,235.739477,3.636287,242.840444,1.552092
Bus48,228.539588,-0.537888,231.150126,3.635554,239.206940,1.556096
