# file...... Result_no_EVs/Load1_voltage.csv
# date...... Thu Mar 10 13:38:21 2016
# user...... chepeadan
# host...... (null)
# target.... load 920
# trigger... (none)
# interval.. 0
# limit..... 0
# timestamp,voltage_A.real,voltage_A.imag
2000-01-01 00:01:00 EST,+218.32,-126.086
2000-01-01 00:02:00 EST,+218.321,-126.085
2000-01-01 00:03:00 EST,+218.314,-126.086
2000-01-01 00:04:00 EST,+218.292,-126.086
2000-01-01 00:05:00 EST,+218.285,-126.092
2000-01-01 00:06:00 EST,+218.294,-126.095
2000-01-01 00:07:00 EST,+218.283,-126.093
2000-01-01 00:08:00 EST,+218.272,-126.094
2000-01-01 00:09:00 EST,+218.27,-126.098
2000-01-01 00:10:00 EST,+218.052,-126.035
2000-01-01 00:11:00 EST,+218.247,-126.094
2000-01-01 00:12:00 EST,+218.245,-126.099
2000-01-01 00:13:00 EST,+218.25,-126.101
2000-01-01 00:14:00 EST,+218.248,-126.104
2000-01-01 00:15:00 EST,+218.249,-126.103
2000-01-01 00:16:00 EST,+218.251,-126.107
2000-01-01 00:17:00 EST,+218.228,-126.164
2000-01-01 00:18:00 EST,+218.228,-126.164
2000-01-01 00:19:00 EST,+218.229,-126.162
2000-01-01 00:20:00 EST,+218.251,-126.102
2000-01-01 00:21:00 EST,+218.251,-126.102
2000-01-01 00:22:00 EST,+218.25,-126.103
2000-01-01 00:23:00 EST,+218.23,-126.098
2000-01-01 00:24:00 EST,+218.206,-126.101
2000-01-01 00:25:00 EST,+218.21,-126.104
2000-01-01 00:26:00 EST,+218.212,-126.108
2000-01-01 00:27:00 EST,+218.213,-126.106
2000-01-01 00:28:00 EST,+218.213,-126.106
2000-01-01 00:29:00 EST,+218.199,-126.109
2000-01-01 00:30:00 EST,+218.199,-126.112
2000-01-01 00:31:00 EST,+218.197,-126.1
2000-01-01 00:32:00 EST,+218.196,-126.1
2000-01-01 00:33:00 EST,+218.197,-126.1
2000-01-01 00:34:00 EST,+218.197,-126.101
2000-01-01 00:35:00 EST,+218.197,-126.1
2000-01-01 00:36:00 EST,+218.2,-126.101
2000-01-01 00:37:00 EST,+218.188,-126.099
2000-01-01 00:38:00 EST,+218.188,-126.099
2000-01-01 00:39:00 EST,+218.188,-126.099
2000-01-01 00:40:00 EST,+218.19,-126.097
2000-01-01 00:41:00 EST,+218.19,-126.098
2000-01-01 00:42:00 EST,+218.194,-126.098
