# file...... Result_no_EVs/Transformer_output_power.csv
# date...... Thu Mar 10 13:38:21 2016
# user...... chepeadan
# host...... (null)
# target.... transformer 1031
# trigger... (none)
# interval.. 0
# limit..... 0
# timestamp,power_out.real,power_out.imag,power_out_A.real,power_out_A.imag,power_out_B.real,power_out_B.imag,power_out_C.real,power_out_C.imag
2000-01-01 00:01:00 EST,+2798.94,+919.661,+1056.91,+347.185,+926.593,+304.564,+815.433,+267.912
2000-01-01 00:02:00 EST,+2805.96,+921.965,+1056.91,+347.159,+956.655,+314.445,+792.395,+260.361
2000-01-01 00:03:00 EST,+2975.21,+977.555,+1126.07,+369.901,+956.613,+314.443,+892.524,+293.211
2000-01-01 00:04:00 EST,+3358.75,+1103.52,+1336.4,+439.057,+956.537,+314.438,+1065.82,+350.029
2000-01-01 00:05:00 EST,+3761.54,+1235.79,+1396.46,+458.947,+1016.58,+334.079,+1348.5,+442.764
2000-01-01 00:06:00 EST,+3859.71,+1268.03,+1336.2,+439.132,+1134.89,+372.848,+1388.61,+456.053
2000-01-01 00:07:00 EST,+4021.98,+1321.32,+1448.38,+476.009,+1134.86,+372.856,+1438.74,+472.455
2000-01-01 00:08:00 EST,+4230.52,+1389.77,+1548.68,+509.014,+1134.79,+372.863,+1547.05,+507.897
2000-01-01 00:09:00 EST,+4382.99,+1439.8,+1548.61,+509.123,+1134.74,+372.777,+1699.63,+557.904
2000-01-01 00:10:00 EST,+6680.68,+2190.93,+3983.86,+1305.23,+1133.85,+374.381,+1562.97,+511.319
2000-01-01 00:11:00 EST,+4585.01,+1506.03,+1777.76,+584.416,+1074.47,+353.172,+1732.77,+568.442
2000-01-01 00:12:00 EST,+4780.64,+1570.21,+1777.67,+584.566,+1074.42,+353.081,+1928.55,+632.567
2000-01-01 00:13:00 EST,+4720.43,+1550.46,+1717.4,+564.778,+1074.44,+353.046,+1928.58,+632.634
2000-01-01 00:14:00 EST,+4845.98,+1591.62,+1717.33,+564.89,+1074.4,+352.976,+2054.24,+673.756
2000-01-01 00:15:00 EST,+4785.71,+1571.86,+1717.36,+564.84,+1074.42,+353.008,+1993.93,+654.017
2000-01-01 00:16:00 EST,+4861.99,+1596.87,+1677.15,+551.72,+1074.41,+352.936,+2110.43,+692.219
2000-01-01 00:17:00 EST,+6970.24,+2287.24,+1676.43,+552.763,+1174.14,+384.982,+4119.66,+1349.5
2000-01-01 00:18:00 EST,+6970.24,+2287.24,+1676.43,+552.763,+1174.14,+384.982,+4119.66,+1349.5
2000-01-01 00:19:00 EST,+6904.7,+2265.81,+1676.46,+552.71,+1174.17,+385.02,+4054.08,+1328.08
2000-01-01 00:20:00 EST,+4816.6,+1582.04,+1717.36,+564.767,+1114.51,+366.183,+1984.72,+651.088
2000-01-01 00:21:00 EST,+4816.6,+1582.04,+1717.36,+564.767,+1114.51,+366.183,+1984.72,+651.088
2000-01-01 00:22:00 EST,+4829.65,+1586.32,+1717.36,+564.778,+1114.51,+366.176,+1997.78,+655.364
2000-01-01 00:23:00 EST,+5069.18,+1664.95,+1939.98,+637.907,+1114.45,+366.257,+2014.75,+660.787
2000-01-01 00:24:00 EST,+5388.79,+1769.68,+2123.8,+698.666,+996.059,+327.394,+2268.93,+743.624
2000-01-01 00:25:00 EST,+5683.27,+1866.4,+2123.68,+698.608,+1166.26,+383.237,+2393.34,+784.557
2000-01-01 00:26:00 EST,+5767.8,+1894.08,+2087.4,+686.864,+1166.23,+383.138,+2514.17,+824.082
2000-01-01 00:27:00 EST,+5703.56,+1873.02,+2087.42,+686.823,+1166.24,+383.161,+2449.89,+803.037
2000-01-01 00:28:00 EST,+5703.56,+1873.02,+2087.42,+686.823,+1166.24,+383.161,+2449.89,+803.037
2000-01-01 00:29:00 EST,+6023.88,+1978.06,+2206.96,+726.27,+1166.14,+383.152,+2650.77,+868.637
2000-01-01 00:30:00 EST,+6214.38,+2040.59,+2206.87,+726.296,+1226.22,+402.826,+2781.29,+911.465
2000-01-01 00:31:00 EST,+5818.1,+1910.73,+2266.03,+745.189,+1166.28,+383.352,+2385.79,+782.188
2000-01-01 00:32:00 EST,+5758.01,+1890.99,+2266.07,+745.218,+1126.22,+370.203,+2365.73,+775.566
2000-01-01 00:33:00 EST,+5748.98,+1888.02,+2257.02,+742.249,+1126.22,+370.198,+2365.73,+775.577
2000-01-01 00:34:00 EST,+5784.11,+1899.55,+2257.01,+742.276,+1126.21,+370.184,+2400.89,+787.085
2000-01-01 00:35:00 EST,+5743.96,+1886.38,+2257.03,+742.243,+1126.22,+370.202,+2360.71,+773.933
2000-01-01 00:36:00 EST,+5908.25,+1940.34,+2256.93,+742.174,+1230.4,+404.389,+2420.92,+793.781
2000-01-01 00:37:00 EST,+6068.86,+1993.02,+2377.47,+781.785,+1230.35,+404.439,+2461.04,+806.799
2000-01-01 00:38:00 EST,+6075.88,+1995.32,+2377.51,+781.718,+1230.37,+404.471,+2468,+809.129
2000-01-01 00:39:00 EST,+6075.88,+1995.32,+2377.51,+781.719,+1230.37,+404.471,+2468,+809.129
2000-01-01 00:40:00 EST,+5983.02,+1964.78,+2366.04,+777.735,+1230.37,+404.583,+2386.61,+782.459
2000-01-01 00:41:00 EST,+5993.01,+1968.07,+2366.01,+777.788,+1230.35,+404.558,+2396.64,+785.722
2000-01-01 00:42:00 EST,+6187.21,+2031.87,+2365.95,+777.758,+1384.47,+455.171,+2436.79,+798.944
2000-01-01 00:43:00 EST,+6240.58,+2049.35,+2466.62,+810.714,+1384.44,+455.26,+2389.52,+783.377
2000-01-01 00:44:00 EST,+6391.48,+2098.8,+2610.56,+858,+1384.36,+455.318,+2396.55,+785.479
2000-01-01 00:45:00 EST,+6305.45,+2070.52,+2305.33,+758.003,+1384.38,+455.081,+2615.74,+857.436
2000-01-01 00:46:00 EST,+6106.59,+2005.31,+2121.34,+697.615,+1384.46,+454.969,+2600.79,+852.729
2000-01-01 00:47:00 EST,+5889.96,+1934.21,+1985.59,+653.098,+1303.45,+428.282,+2600.92,+852.83
2000-01-01 00:48:00 EST,+5889.96,+1934.21,+1985.59,+653.098,+1303.45,+428.282,+2600.92,+852.83
