# Result_no_EVs/output_current_end.csv run at 2000-01-02 00:00:00 EST on 907 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
Source_Impedance,0.583131,-0.321962,0.477628,3.743587,0.482142,1.907970
TR1,0.583131,-0.321962,0.477628,3.743587,0.482142,1.907970
LINE1,15.527649,-0.840885,15.302497,3.346976,9.755382,1.252952
LINE2,15.527649,-0.840885,15.302497,3.346976,9.755382,1.252952
LINE3,15.527649,-0.840885,15.302497,3.346976,9.755382,1.252952
LINE4,15.527649,-0.840885,15.302497,3.346976,9.755382,1.252952
LINE5,15.527648,-0.840885,15.302497,3.346976,9.755382,1.252952
LINE6,15.527649,-0.840885,15.302497,3.346976,9.755382,1.252952
LINE7,15.527649,-0.840885,15.302497,3.346976,9.755382,1.252952
LINE8,15.527649,-0.840885,15.302497,3.346976,9.755382,1.252952
LINE9,15.527649,-0.840885,15.302497,3.346976,9.755382,1.252952
LINE10,15.527649,-0.840885,15.302497,3.346976,9.755382,1.252952
LINE11,15.527649,-0.840885,15.302497,3.346976,9.755382,1.252952
LINE12,15.527648,-0.840885,15.302497,3.346976,9.755382,1.252952
LINE13,15.527649,-0.840885,15.302497,3.346976,9.755382,1.252952
LINE14,15.527649,-0.840885,15.302497,3.346976,9.755382,1.252952
LINE15,0.000000,4.613518,0.000000,-0.024932,0.000000,4.629904
LINE16,15.527648,-0.840885,15.302497,3.346976,9.755382,1.252952
LINE17,0.000000,4.306951,0.000000,-0.024932,0.000000,3.116661
LINE18,15.527648,-0.840885,15.302497,3.346976,9.755382,1.252952
LINE19,0.000000,3.978831,0.000000,0.172464,0.000000,4.711704
LINE20,15.527648,-0.840885,15.302497,3.346976,9.755382,1.252952
LINE21,0.000000,4.043956,0.000000,0.220047,0.000000,4.698870
LINE22,15.527648,-0.840885,15.302497,3.346976,9.755382,1.252952
LINE23,0.000000,4.188110,0.000000,0.099423,0.000000,4.690753
LINE24,15.527648,-0.840885,15.302497,3.346976,9.755382,1.252952
LINE25,0.000000,4.507604,0.000000,-0.024932,0.000000,4.680540
LINE26,2.256355,-0.841513,0.000000,4.348617,0.000000,1.845124
LINE27,13.271294,-0.840778,15.302497,3.346976,9.755382,1.252952
LINE28,0.000000,4.442478,0.000000,-0.024932,0.000000,4.686725
LINE29,0.150415,-0.841527,0.000000,2.944191,0.000000,-1.561068
LINE30,2.105940,-0.841512,0.000000,4.433737,0.000000,1.804271
LINE31,13.271294,-0.840778,15.302497,3.346976,9.755382,1.252952
LINE32,0.000000,-1.384635,0.000000,-0.583531,0.000000,4.681354
LINE33,0.150415,-0.841527,0.000000,0.241798,0.000000,4.692887
LINE34,2.105940,-0.841512,0.000000,-1.359815,0.000000,4.365787
LINE35,0.000000,3.178910,4.574120,3.347069,0.000000,1.725400
LINE36,13.271294,-0.840778,10.728377,3.346937,9.755382,1.252952
LINE37,0.000000,-1.297229,0.000000,-0.488580,0.000000,4.687091
LINE38,2.105940,-0.841512,0.000000,3.844914,0.000000,1.747651
LINE39,0.000000,3.199982,0.217393,3.347042,0.000000,1.716653
LINE40,0.000000,3.309164,4.356726,3.347070,0.000000,1.643708
LINE41,13.271294,-0.840778,10.728377,3.346937,9.755382,1.252952
LINE42,0.000000,3.367285,0.000000,2.023002,0.000000,1.891632
LINE43,0.000000,4.409157,0.000000,-0.488580,0.000000,4.697613
LINE44,2.105940,-0.841512,0.000000,-1.567678,0.000000,3.244740
LINE45,0.000000,2.915504,0.217393,3.347042,0.000000,1.840355
LINE46,0.000000,3.213557,4.356726,3.347070,0.000000,-1.473962
LINE47,13.271294,-0.840778,10.728377,3.346937,9.755382,1.252952
LINE48,0.000000,3.095587,0.000000,2.093091,0.000000,1.940307
LINE49,0.000000,4.365707,0.000000,-0.190081,0.000000,4.701616
LINE50,2.105940,-0.841512,0.000000,-0.057964,0.000000,4.021477
LINE51,0.000000,2.794158,0.217393,3.347042,0.000000,4.604147
LINE52,13.271294,-0.840778,10.728377,3.346937,9.755382,1.252952
LINE53,0.000000,3.094653,0.000000,3.890589,0.000000,1.780472
LINE54,0.000000,3.039834,0.000000,2.213142,0.000000,2.094894
LINE55,0.000000,4.490062,0.000000,-0.190081,0.000000,4.691445
LINE56,2.105940,-0.841512,0.000000,0.434251,0.000000,4.283949
LINE57,0.000000,2.698058,0.217393,3.347042,0.000000,4.678807
LINE58,13.271294,-0.840778,10.728377,3.346937,9.755382,1.252952
LINE59,0.000000,2.919066,0.000000,-0.565152,0.000000,2.054472
LINE60,0.000000,3.036523,0.000000,2.786993,0.000000,1.745994
LINE61,0.000000,4.687457,0.000000,-0.236025,0.000000,4.668905
LINE62,2.105940,-0.841512,0.000000,1.788875,0.000000,3.949818
LINE63,0.000000,2.760889,0.217393,3.347042,0.000000,4.672307
LINE64,11.619453,-0.840710,10.728377,3.346937,9.755382,1.252952
