# Result_no_EVs/output_current_offpeak.csv run at 2000-01-01 00:01:00 EST on 907 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
Source_Impedance,0.156680,-0.355539,0.137589,3.834287,0.148191,1.851143
TR1,0.156680,-0.355539,0.137589,3.834287,0.148191,1.851143
LINE1,4.411689,-0.841167,3.867944,3.347464,3.403736,1.253210
LINE2,4.411689,-0.841167,3.867944,3.347464,3.403736,1.253210
LINE3,4.411689,-0.841167,3.867944,3.347464,3.403736,1.253210
LINE4,4.411689,-0.841167,3.867944,3.347464,3.403736,1.253210
LINE5,4.411689,-0.841167,3.867944,3.347464,3.403736,1.253210
LINE6,4.411689,-0.841167,3.867944,3.347464,3.403736,1.253210
LINE7,4.411689,-0.841167,3.867944,3.347464,3.403736,1.253210
LINE8,4.411689,-0.841167,3.867944,3.347464,3.403736,1.253210
LINE9,4.411689,-0.841167,3.867944,3.347464,3.403736,1.253210
LINE10,4.411689,-0.841167,3.867944,3.347464,3.403736,1.253210
LINE11,4.411689,-0.841167,3.867944,3.347464,3.403736,1.253210
LINE12,4.411689,-0.841167,3.867944,3.347464,3.403736,1.253210
LINE13,4.411689,-0.841167,3.867944,3.347464,3.403736,1.253210
LINE14,4.411689,-0.841167,3.867944,3.347464,3.403736,1.253210
LINE15,0.000000,1.257809,0.000000,4.038462,0.000000,-1.554642
LINE16,4.411689,-0.841167,3.867944,3.347464,3.403736,1.253210
LINE17,0.000000,1.082217,0.000000,4.135802,0.000000,-1.557688
LINE18,4.411689,-0.841167,3.867944,3.347464,3.403736,1.253210
LINE19,0.000000,1.267565,0.000000,4.043956,0.000000,-1.565145
LINE20,4.411689,-0.841167,3.867944,3.347464,3.403736,1.253210
LINE21,0.000000,1.380716,0.000000,3.657080,0.000000,-1.561096
LINE22,4.411689,-0.841167,3.867944,3.347464,3.403736,1.253210
LINE23,0.000000,1.082217,0.000000,3.760162,0.000000,-1.564879
LINE24,4.411689,-0.841167,3.867944,3.347464,3.403736,1.253210
LINE25,0.000000,1.046518,0.000000,3.825287,0.000000,-1.561656
LINE26,0.375771,-0.841291,0.000000,-1.427451,0.000000,4.398027
LINE27,4.035917,-0.841155,3.867944,3.347464,3.403736,1.253210
LINE28,0.000000,0.871123,0.000000,3.736910,0.000000,-1.555900
LINE29,0.150308,-0.841292,0.000000,3.028108,0.000000,1.523453
LINE30,0.225463,-0.841291,0.000000,-1.430166,0.000000,4.291789
LINE31,4.035917,-0.841155,3.867944,3.347464,3.403736,1.253210
LINE32,0.000000,0.917068,0.000000,3.710410,0.000000,-1.556763
LINE33,0.150308,-0.841292,0.000000,-0.976471,0.000000,2.836916
LINE34,0.225463,-0.841291,0.000000,-0.566431,0.000000,1.954116
