# Result_no_EVs/output_current_peak.csv run at 2000-01-01 09:26:00 EST on 907 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
Source_Impedance,4.295607,-0.127205,3.544173,3.481789,1.957172,2.060073
TR1,4.295607,-0.127205,3.544173,3.481789,1.957172,2.060073
LINE1,74.351773,-0.824457,147.668201,3.343611,25.916011,1.242623
LINE2,74.351773,-0.824457,147.668201,3.343611,25.916011,1.242623
LINE3,74.351773,-0.824457,147.668201,3.343611,25.916011,1.242623
LINE4,74.351773,-0.824457,147.668201,3.343611,25.916011,1.242623
LINE5,74.351773,-0.824457,147.668201,3.343611,25.916011,1.242623
LINE6,74.351773,-0.824457,147.668201,3.343611,25.916011,1.242623
LINE7,74.351773,-0.824457,147.668201,3.343611,25.916011,1.242623
LINE8,74.351773,-0.824457,147.668201,3.343611,25.916011,1.242623
LINE9,74.351773,-0.824457,147.668201,3.343611,25.916011,1.242623
LINE10,74.351773,-0.824457,147.668201,3.343611,25.916011,1.242623
LINE11,74.351773,-0.824457,147.668201,3.343611,25.916011,1.242623
LINE12,74.351773,-0.824457,147.668201,3.343611,25.916011,1.242623
LINE13,74.351773,-0.824457,147.668201,3.343611,25.916011,1.242623
LINE14,74.351773,-0.824457,147.668201,3.343611,25.916011,1.242623
LINE15,0.000000,-1.463177,0.000000,2.911265,0.000000,4.416913
LINE16,74.351773,-0.824457,147.668201,3.343611,25.916011,1.242623
LINE17,0.000000,-1.377059,0.000000,2.653013,0.000000,4.652315
LINE18,74.351773,-0.824457,147.668201,3.343611,25.916011,1.242623
LINE19,0.000000,4.365707,0.000000,2.653013,0.000000,4.674958
LINE20,74.351773,-0.824457,147.668201,3.343611,25.916011,1.242623
LINE21,0.000000,-0.887102,0.000000,2.871682,0.000000,4.686806
LINE22,74.351773,-0.824457,147.668201,3.343611,25.916011,1.242623
LINE23,0.000000,-1.007726,0.000000,2.951512,0.000000,4.682249
LINE24,74.351773,-0.824457,147.668201,3.343611,25.916011,1.242623
LINE25,0.000000,-0.810330,0.000000,3.216329,0.000000,4.676715
LINE26,2.879843,-0.841191,0.000000,0.744050,0.000000,4.147833
LINE27,71.472350,-0.823783,147.668201,3.343611,25.916011,1.242623
LINE28,0.000000,-0.810330,0.000000,3.675260,0.000000,4.570802
LINE29,2.402677,-0.841189,0.000000,0.207907,0.000000,-1.569506
LINE30,0.477166,-0.841200,0.000000,0.886208,0.000000,4.462776
LINE31,71.472350,-0.823783,147.668201,3.343611,25.916011,1.242623
LINE32,0.000000,-0.764209,0.000000,3.635807,0.000000,1.681741
LINE33,2.402677,-0.841189,0.000000,4.643967,0.000000,1.479192
LINE34,0.477166,-0.841200,0.000000,0.673355,0.000000,4.498933
LINE35,0.000000,1.007908,1.864236,3.342899,0.000000,-1.535047
LINE36,71.472350,-0.823783,145.803965,3.343620,25.916011,1.242623
LINE37,0.000000,-0.743762,0.000000,3.715080,0.000000,1.731212
LINE38,0.477166,-0.841200,0.000000,2.846459,0.000000,4.610997
LINE39,0.000000,0.912748,1.677395,3.342900,0.000000,-1.542104
LINE40,0.000000,2.181312,0.186841,3.342889,0.000000,4.640914
