# Result_no_EVs/output_voltage_end.csv run at 2000-01-02 00:00:00 EST on 963 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
SourceBus,6668.395609,0.000000,6668.395609,4.188790,6668.395609,2.094395
Bus1,252.112607,-0.524246,252.105077,3.664573,252.133589,1.570370
Bus2,252.104457,-0.524233,252.096023,3.664572,252.130923,1.570371
Bus3,252.103603,-0.524232,252.095073,3.664572,252.130643,1.570371
Bus4,252.102802,-0.524230,252.094184,3.664572,252.130382,1.570371
Bus5,252.102104,-0.524229,252.093409,3.664572,252.130153,1.570371
Bus6,252.101005,-0.524227,252.092187,3.664571,252.129794,1.570371
Bus7,252.026140,-0.524106,252.009011,3.664559,252.105305,1.570378
Bus8,252.022787,-0.524100,252.005285,3.664559,252.104209,1.570378
Bus9,252.019996,-0.524096,252.002185,3.664558,252.103296,1.570378
Bus10,252.017547,-0.524092,251.999463,3.664558,252.102495,1.570379
Bus11,252.015719,-0.524089,251.997433,3.664558,252.101897,1.570379
Bus12,252.014004,-0.524086,251.995527,3.664558,252.101336,1.570379
Bus13,252.012949,-0.524084,251.994355,3.664557,252.100991,1.570379
Bus14,252.010323,-0.524080,251.991437,3.664557,252.100132,1.570379
Bus15,251.989048,-0.524045,251.967799,3.664554,252.093172,1.570381
Bus16,251.989048,-0.524045,251.967799,3.664554,252.093172,1.570381
Bus17,251.963249,-0.524004,251.939134,3.664549,252.084733,1.570383
Bus18,251.989048,-0.524045,251.967799,3.664554,252.093172,1.570381
Bus19,251.961474,-0.524001,251.937162,3.664549,252.084152,1.570384
Bus20,251.989048,-0.524045,251.967799,3.664554,252.093172,1.570381
Bus21,251.959481,-0.523997,251.934947,3.664549,252.083500,1.570384
Bus22,251.989048,-0.524045,251.967799,3.664554,252.093172,1.570381
Bus23,251.956235,-0.523992,251.931341,3.664548,252.082439,1.570384
Bus24,251.989048,-0.524045,251.967799,3.664554,252.093172,1.570381
Bus25,251.950331,-0.523983,251.924781,3.664547,252.080507,1.570384
Bus26,251.989048,-0.524045,251.967799,3.664554,252.093172,1.570381
Bus27,251.935198,-0.523968,251.924827,3.664547,252.080673,1.570385
Bus28,251.893946,-0.523878,251.840861,3.664566,252.050447,1.570370
Bus29,251.989048,-0.524045,251.967799,3.664554,252.093172,1.570381
Bus30,251.934920,-0.523967,251.924828,3.664547,252.080676,1.570385
Bus31,251.931407,-0.523964,251.924838,3.664546,252.080714,1.570385
Bus32,251.878936,-0.523850,251.818520,3.664571,252.042444,1.570366
Bus33,251.989048,-0.524045,251.967799,3.664554,252.093172,1.570381
Bus34,251.934284,-0.523967,251.924830,3.664546,252.080683,1.570385
Bus35,251.931279,-0.523964,251.924839,3.664546,252.080716,1.570385
Bus36,251.879262,-0.523849,251.788768,3.664601,252.042533,1.570364
Bus37,251.823988,-0.523801,251.779687,3.664561,252.015454,1.570404
Bus38,251.989048,-0.524045,251.967799,3.664554,252.093172,1.570381
Bus39,251.931094,-0.523964,251.924839,3.664546,252.080718,1.570385
Bus40,251.879263,-0.523849,251.788670,3.664601,252.042534,1.570364
Bus41,251.879360,-0.523849,251.779830,3.664609,252.042560,1.570364
Bus42,251.785857,-0.523766,251.752740,3.664553,251.996724,1.570431
Bus43,251.823988,-0.523801,251.779687,3.664561,252.015454,1.570404
Bus44,251.989048,-0.524045,251.967799,3.664554,252.093172,1.570381
Bus45,251.930858,-0.523963,251.924840,3.664546,252.080720,1.570385
Bus46,251.879263,-0.523849,251.788625,3.664601,252.042534,1.570364
Bus47,251.879595,-0.523848,251.758323,3.664630,252.042625,1.570362
Bus48,251.757044,-0.523741,251.732377,3.664548,251.982571,1.570451
Bus49,251.823988,-0.523801,251.779687,3.664561,252.015454,1.570404
Bus50,251.989048,-0.524045,251.967799,3.664554,252.093172,1.570381
Bus51,251.930281,-0.523963,251.924842,3.664546,252.080727,1.570385
Bus52,251.879264,-0.523849,251.788578,3.664601,252.042534,1.570364
Bus53,251.752890,-0.523737,251.729441,3.664547,251.980531,1.570454
Bus54,251.757044,-0.523741,251.732377,3.664548,251.982571,1.570451
Bus55,251.823988,-0.523801,251.779687,3.664561,252.015454,1.570404
Bus56,251.989048,-0.524045,251.967799,3.664554,252.093172,1.570381
Bus57,251.929788,-0.523962,251.924843,3.664546,252.080732,1.570385
Bus58,251.879264,-0.523849,251.788533,3.664601,252.042534,1.570364
Bus59,251.734072,-0.523720,251.716142,3.664543,251.971288,1.570467
Bus60,251.757044,-0.523741,251.732377,3.664548,251.982571,1.570451
Bus61,251.823988,-0.523801,251.779687,3.664561,252.015454,1.570404
Bus62,251.989048,-0.524045,251.967799,3.664554,252.093172,1.570381
Bus63,251.927422,-0.523960,251.924850,3.664546,252.080758,1.570385
Bus64,251.879265,-0.523849,251.788506,3.664601,252.042534,1.570364
Bus65,251.730968,-0.523717,251.713368,3.664544,251.969168,1.570469
Bus66,251.718578,-0.523705,251.716188,3.664542,251.971457,1.570468
Bus67,251.757044,-0.523741,251.732377,3.664548,251.982571,1.570451
Bus68,251.823988,-0.523801,251.779687,3.664561,252.015454,1.570404
Bus69,251.989048,-0.524045,251.967799,3.664554,252.093172,1.570381
Bus70,251.919059,-0.523952,251.924875,3.664546,252.080849,1.570386
Bus71,251.879265,-0.523849,251.788453,3.664601,252.042534,1.570364
Bus72,251.694302,-0.523684,251.680593,3.664550,251.944128,1.570490
Bus73,251.717657,-0.523704,251.716191,3.664542,251.971467,1.570468
Bus74,251.711925,-0.523698,251.716208,3.664542,251.971530,1.570468
Bus75,251.757044,-0.523741,251.732377,3.664548,251.982571,1.570451
Bus76,251.823988,-0.523801,251.779687,3.664561,252.015454,1.570404
Bus77,251.989048,-0.524045,251.967799,3.664554,252.093172,1.570381
Bus78,251.879268,-0.523849,251.788186,3.664601,252.042535,1.570364
Bus79,251.681521,-0.523673,251.669169,3.664552,251.935400,1.570497
Bus80,251.757044,-0.523741,251.732377,3.664548,251.982571,1.570451
Bus81,251.823988,-0.523801,251.779687,3.664561,252.015454,1.570404
