# Result_no_EVs/output_voltage_offpeak.csv run at 2000-01-01 00:01:00 EST on 963 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
SourceBus,6668.395609,0.000000,6668.395609,4.188790,6668.395609,2.094395
Bus1,252.164692,-0.523781,252.165952,3.665032,252.169115,1.570651
Bus2,252.162292,-0.523779,252.163971,3.665032,252.167775,1.570652
Bus3,252.162041,-0.523778,252.163763,3.665032,252.167635,1.570653
Bus4,252.161805,-0.523778,252.163569,3.665032,252.167503,1.570653
Bus5,252.161599,-0.523778,252.163399,3.665032,252.167388,1.570653
Bus6,252.161276,-0.523778,252.163132,3.665032,252.167208,1.570653
Bus7,252.139234,-0.523756,252.144937,3.665031,252.154903,1.570666
Bus8,252.138246,-0.523755,252.144122,3.665031,252.154351,1.570667
Bus9,252.137425,-0.523754,252.143443,3.665031,252.153893,1.570667
Bus10,252.136703,-0.523754,252.142848,3.665031,252.153490,1.570667
Bus11,252.136165,-0.523753,252.142404,3.665031,252.153190,1.570668
Bus12,252.135660,-0.523753,252.141987,3.665031,252.152908,1.570668
Bus13,252.135350,-0.523752,252.141731,3.665031,252.152734,1.570668
Bus14,252.134576,-0.523752,252.141092,3.665031,252.152303,1.570669
Bus15,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
Bus16,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
Bus17,252.120716,-0.523738,252.129651,3.665030,252.144565,1.570677
Bus18,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
Bus19,252.120193,-0.523738,252.129219,3.665030,252.144273,1.570677
Bus20,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
Bus21,252.119607,-0.523737,252.128735,3.665030,252.143946,1.570678
Bus22,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
Bus23,252.118651,-0.523736,252.127946,3.665030,252.143412,1.570678
Bus24,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
Bus25,252.116912,-0.523735,252.126511,3.665030,252.142442,1.570679
Bus26,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
Bus27,252.114392,-0.523732,252.126518,3.665030,252.142469,1.570679
Bus28,252.098059,-0.523716,252.108242,3.665035,252.129305,1.570688
Bus29,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
Bus30,252.114115,-0.523732,252.126519,3.665030,252.142472,1.570679
Bus31,252.113986,-0.523732,252.126520,3.665030,252.142474,1.570679
Bus32,252.093040,-0.523711,252.103379,3.665036,252.125807,1.570691
Bus33,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
Bus34,252.113479,-0.523731,252.126521,3.665030,252.142479,1.570679
Bus35,252.113973,-0.523732,252.126520,3.665030,252.142474,1.570679
Bus36,252.093068,-0.523711,252.100772,3.665038,252.125815,1.570691
Bus37,252.077025,-0.523699,252.091191,3.665037,252.114987,1.570703
Bus38,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
Bus39,252.113953,-0.523732,252.126520,3.665030,252.142474,1.570679
Bus40,252.093069,-0.523711,252.100673,3.665038,252.125815,1.570691
Bus41,252.093072,-0.523711,252.100395,3.665039,252.125816,1.570691
Bus42,252.065912,-0.523691,252.082732,3.665038,252.107479,1.570711
Bus43,252.077025,-0.523699,252.091191,3.665037,252.114987,1.570703
Bus44,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
Bus45,252.113928,-0.523732,252.126520,3.665030,252.142474,1.570679
Bus46,252.093070,-0.523711,252.100629,3.665038,252.125815,1.570691
Bus47,252.093082,-0.523711,252.099488,3.665039,252.125819,1.570691
Bus48,252.057515,-0.523685,252.076341,3.665038,252.101806,1.570717
Bus49,252.077025,-0.523699,252.091191,3.665037,252.114987,1.570703
Bus50,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
Bus51,252.113866,-0.523732,252.126520,3.665030,252.142475,1.570679
Bus52,252.093070,-0.523711,252.100582,3.665038,252.125816,1.570691
Bus53,252.056304,-0.523684,252.075420,3.665038,252.100988,1.570718
Bus54,252.057515,-0.523685,252.076341,3.665038,252.101806,1.570717
Bus55,252.077025,-0.523699,252.091191,3.665037,252.114987,1.570703
Bus56,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
Bus57,252.113813,-0.523732,252.126520,3.665030,252.142476,1.570679
Bus58,252.093071,-0.523711,252.100537,3.665038,252.125816,1.570691
Bus59,252.050820,-0.523680,252.071245,3.665039,252.097282,1.570722
Bus60,252.057515,-0.523685,252.076341,3.665038,252.101806,1.570717
Bus61,252.077025,-0.523699,252.091191,3.665037,252.114987,1.570703
Bus62,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
Bus63,252.113560,-0.523731,252.126521,3.665030,252.142478,1.570679
Bus64,252.093071,-0.523711,252.100510,3.665038,252.125816,1.570691
Bus65,252.049856,-0.523679,252.070382,3.665039,252.096478,1.570723
Bus66,252.047568,-0.523677,252.071255,3.665039,252.097318,1.570722
Bus67,252.057515,-0.523685,252.076341,3.665038,252.101806,1.570717
Bus68,252.077025,-0.523699,252.091191,3.665037,252.114987,1.570703
Bus69,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
Bus70,252.112664,-0.523730,252.126524,3.665030,252.142488,1.570679
Bus71,252.093072,-0.523711,252.100457,3.665039,252.125816,1.570691
Bus72,252.038474,-0.523671,252.060182,3.665043,252.086983,1.570730
Bus73,252.046649,-0.523676,252.071258,3.665039,252.097328,1.570722
Bus74,252.046898,-0.523676,252.071257,3.665039,252.097325,1.570722
Bus75,252.057515,-0.523685,252.076341,3.665038,252.101806,1.570717
Bus76,252.077025,-0.523699,252.091191,3.665037,252.114987,1.570703
Bus77,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
Bus78,252.093075,-0.523711,252.100190,3.665039,252.125817,1.570691
Bus79,252.034506,-0.523668,252.056626,3.665045,252.083673,1.570733
Bus80,252.057515,-0.523685,252.076341,3.665038,252.101806,1.570717
Bus81,252.077025,-0.523699,252.091191,3.665037,252.114987,1.570703
Bus82,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
Bus83,252.093086,-0.523711,252.099183,3.665040,252.125820,1.570691
Bus84,252.033640,-0.523668,252.055850,3.665045,252.082950,1.570734
Bus85,252.057515,-0.523685,252.076341,3.665038,252.101806,1.570717
Bus86,252.077025,-0.523699,252.091191,3.665037,252.114987,1.570703
Bus87,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
Bus88,252.031884,-0.523666,252.054277,3.665046,252.081485,1.570735
Bus89,252.057515,-0.523685,252.076341,3.665038,252.101806,1.570717
Bus90,252.077025,-0.523699,252.091191,3.665037,252.114987,1.570703
Bus91,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
Bus92,252.030229,-0.523665,252.052793,3.665046,252.080104,1.570736
Bus93,252.077025,-0.523699,252.091191,3.665037,252.114987,1.570703
Bus94,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
Bus95,252.029266,-0.523665,252.051931,3.665047,252.079301,1.570737
Bus96,252.077025,-0.523699,252.091191,3.665037,252.114987,1.570703
Bus97,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
Bus98,252.028630,-0.523664,252.051361,3.665047,252.078771,1.570737
Bus99,252.077025,-0.523699,252.091191,3.665037,252.114987,1.570703
Bus100,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
Bus101,252.027753,-0.523664,252.050574,3.665047,252.078039,1.570738
Bus102,252.077025,-0.523699,252.091191,3.665037,252.114987,1.570703
Bus103,252.128312,-0.523746,252.135921,3.665031,252.148806,1.570672
