# Result_no_EVs/output_voltage_peak.csv run at 2000-01-01 09:26:00 EST on 963 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
SourceBus,6668.395609,0.000000,6668.395609,4.188790,6668.395609,2.094395
Bus1,251.900822,-0.526991,251.442613,3.659445,251.952085,1.569572
Bus2,251.881019,-0.526824,251.329985,3.659474,251.962969,1.569450
Bus3,251.878943,-0.526807,251.318177,3.659477,251.964110,1.569437
Bus4,251.876998,-0.526790,251.307115,3.659480,251.965179,1.569425
Bus5,251.875303,-0.526776,251.297471,3.659483,251.966112,1.569415
Bus6,251.872632,-0.526753,251.282278,3.659487,251.967580,1.569398
Bus7,251.691070,-0.525218,250.247677,3.659760,252.067756,1.568275
Bus8,251.682952,-0.525150,250.201339,3.659772,252.072250,1.568225
Bus9,251.676197,-0.525092,250.162772,3.659782,252.075991,1.568183
Bus10,251.670269,-0.525042,250.128925,3.659791,252.079275,1.568146
Bus11,251.665845,-0.525005,250.103670,3.659798,252.081725,1.568119
Bus12,251.661694,-0.524969,250.079961,3.659804,252.084025,1.568093
Bus13,251.659141,-0.524948,250.065382,3.659808,252.085440,1.568078
Bus14,251.652786,-0.524894,250.029087,3.659818,252.088962,1.568038
Bus15,251.601332,-0.524457,249.735072,3.659896,252.117508,1.567719
Bus16,251.601332,-0.524457,249.735072,3.659896,252.117508,1.567719
Bus17,251.539000,-0.523927,249.378529,3.659991,252.152159,1.567333
Bus18,251.601332,-0.524457,249.735072,3.659896,252.117508,1.567719
Bus19,251.534714,-0.523891,249.353997,3.659997,252.154544,1.567306
Bus20,251.601332,-0.524457,249.735072,3.659896,252.117508,1.567719
Bus21,251.529902,-0.523850,249.326450,3.660005,252.157223,1.567276
Bus22,251.601332,-0.524457,249.735072,3.659896,252.117508,1.567719
Bus23,251.522067,-0.523783,249.281598,3.660017,252.161586,1.567228
Bus24,251.601332,-0.524457,249.735072,3.659896,252.117508,1.567719
Bus25,251.507816,-0.523662,249.200002,3.660038,252.169523,1.567139
Bus26,251.601332,-0.524457,249.735072,3.659896,252.117508,1.567719
Bus27,251.488501,-0.523643,249.200062,3.660037,252.169734,1.567140
Bus28,251.352007,-0.522161,248.175279,3.660352,252.261715,1.566004
Bus29,251.601332,-0.524457,249.735072,3.659896,252.117508,1.567719
Bus30,251.484063,-0.523639,249.200075,3.660037,252.169782,1.567140
Bus31,251.487642,-0.523642,249.200064,3.660037,252.169743,1.567140
Bus32,251.310624,-0.521761,247.902485,3.660437,252.286312,1.565702
Bus33,251.601332,-0.524457,249.735072,3.659896,252.117508,1.567719
Bus34,251.473898,-0.523629,249.200106,3.660036,252.169893,1.567140
Bus35,251.487613,-0.523642,249.200064,3.660037,252.169743,1.567140
Bus36,251.310758,-0.521761,247.890360,3.660449,252.286349,1.565701
Bus37,251.181813,-0.520565,247.089344,3.660681,252.359683,1.564809
Bus38,251.601332,-0.524457,249.735072,3.659896,252.117508,1.567719
Bus39,251.487572,-0.523642,249.200064,3.660037,252.169744,1.567140
Bus40,251.310766,-0.521761,247.889598,3.660449,252.286351,1.565701
Bus41,251.310762,-0.521761,247.889977,3.660449,252.286350,1.565701
Bus42,251.092637,-0.519735,246.525087,3.660852,252.410716,1.564190
Bus43,251.181813,-0.520565,247.089344,3.660681,252.359683,1.564809
Bus44,251.601332,-0.524457,249.735072,3.659896,252.117508,1.567719
Bus45,251.487518,-0.523642,249.200065,3.660037,252.169745,1.567140
Bus46,251.310770,-0.521761,247.889254,3.660450,252.286352,1.565701
Bus47,251.310772,-0.521761,247.889054,3.660450,252.286352,1.565701
Bus48,251.025366,-0.519107,246.098707,3.660981,252.449344,1.563722
Bus49,251.181813,-0.520565,247.089344,3.660681,252.359683,1.564809
Bus50,251.601332,-0.524457,249.735072,3.659896,252.117508,1.567719
Bus51,251.487387,-0.523642,249.200065,3.660037,252.169746,1.567140
Bus52,251.310774,-0.521761,247.888890,3.660450,252.286353,1.565701
Bus53,251.015676,-0.519016,246.037232,3.661000,252.454917,1.563655
Bus54,251.025366,-0.519107,246.098707,3.660981,252.449344,1.563722
Bus55,251.181813,-0.520565,247.089344,3.660681,252.359683,1.564809
Bus56,251.601332,-0.524457,249.735072,3.659896,252.117508,1.567719
Bus57,251.487275,-0.523642,249.200065,3.660037,252.169747,1.567140
Bus58,251.310778,-0.521761,247.888543,3.660450,252.286354,1.565701
Bus59,250.971804,-0.518606,245.758767,3.661085,252.480180,1.563350
Bus60,251.025366,-0.519107,246.098707,3.660981,252.449344,1.563722
Bus61,251.181813,-0.520565,247.089344,3.660681,252.359683,1.564809
Bus62,251.601332,-0.524457,249.735072,3.659896,252.117508,1.567719
Bus63,251.486739,-0.523641,249.200067,3.660037,252.169753,1.567140
Bus64,251.310780,-0.521761,247.888336,3.660451,252.286355,1.565701
Bus65,250.963378,-0.518523,245.702107,3.661103,252.485158,1.563287
Bus66,250.961338,-0.518596,245.758800,3.661084,252.480293,1.563350
Bus67,251.025366,-0.519107,246.098707,3.660981,252.449344,1.563722
Bus68,251.181813,-0.520565,247.089344,3.660681,252.359683,1.564809
Bus69,251.601332,-0.524457,249.735072,3.659896,252.117508,1.567719
Bus70,251.484845,-0.523639,249.200073,3.660037,252.169774,1.567140
Bus71,251.310784,-0.521761,247.887928,3.660451,252.286356,1.565701
Bus72,250.863958,-0.517542,245.032694,3.661318,252.544048,1.562547
